CODE COMPARATIVE TABLE - 1991 CODE
This table gives the location within this Code of those sections of the 1991 Code, as updated through June 30, 1995, which are included herein. Sections of the 1991 Code, as supplemented, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances adopted subsequent thereto, see the table immediately following this table.
EXPAND
1991 Code
Section Section
this Code
5.06.110 5.20.110
5.06.120 5.20.120
5.06.130 5.20.130
5.06.140 5.20.140
5.06.150 5.20.150
5.06.160 5.20.160
5.06.170 5.20.170
5.06.180 5.20.180
5.06.190 5.20.190
5.06.200 5.20.200
5.06.210 5.20.210
5.06.220 5.20.220
5.06.230 5.20.230
5.06.240 5.20.240
5.06.250 5.20.250
5.06.260 5.20.260
5.06.270 5.20.270
5.06.280 5.20.280
5.06.290 5.20.290
5.06.300 5.20.300
5.06.310 5.20.310
5.06.320 5.20.320
5.06.330 5.20.330
5.06.340 5.20.340
5.06.350 5.20.350
5.06.360 5.20.360
5.12.010 5.30.010
5.12.020 5.30.020
5.12.030 5.30.030
5.12.040 5.30.040
5.12.050 5.30.050
5.12.060 5.30.060
5.12.070 5.30.070
5.12.080 5.30.080
5.12.090 5.30.090
5.12.100 5.30.100
5.12.110 5.30.110
5.12.120 5.30.120
5.12.130 5.30.130
5.12.140 5.30.140
5.12.150 5.30.150
5.12.160 5.30.160
5.12.170 5.30.170
5.12.180 5.30.180
5.12.190 5.30.190
5.12.200 5.30.200
5.12.210 5.30.210
5.12.230 5.30.230
5.12.240 5.30.240
6.04.010 6.10.010
6.04.020 6.10.020
6.04.030 6.10.030
6.04.040 6.10.040
6.04.050 6.10.050
6.04.060 6.10.060
6.04.070 6.10.070
6.04.080 6.10.080
6.04.090 6.10.090
6.04.100 6.10.100
6.04.110 6.10.110
6.04.120 6.10.120
6.04.130 6.10.130
6.04.140 6.10.140
6.04.150 6.10.150
6.04.160 6.10.160
6.04.170 6.10.170
6.04.180 6.10.180
6.04.190 6.10.190
6.04.200 6.10.200
6.04.210 6.10.210
6.04.220 6.10.220
6.04.230 6.10.230
6.04.240 6.10.240
6.04.250 6.10.250
6.04.260 6.10.260
6.04.270 6.10.270
6.04.280 6.10.280
6.04.290 6.10.290
6.04.300 6.10.300
8.02.010 8.10.010
8.02.020 8.10.020
8.02.030 8.10.030
8.02.040 8.10.040
8.02.050 8.10.050
8.02.060 8.10.060
8.02.070 8.10.070
8.02.080 8.10.080
8.02.090 8.10.090
8.02.100 8.10.100
8.06.010 8.20.010
8.08.010 8.30.010
8.08.020 8.30.020
8.08.030 8.30.030
8.08.040 8.30.040
8.08.050 8.30.050
8.08.060 8.30.060
8.08.070 8.30.070
8.08.080 8.30.080
8.08.090 8.30.090
8.08.100 8.30.100
8.08.110 8.30.110
8.08.120 8.30.120
8.08.130 8.30.130
8.08.140 8.30.140
8.08.150 8.30.150
8.08.160 8.30.160
8.08.170 8.30.170
8.08.180 8.30.180
8.08.190 8.30.190
8.08.200 8.30.200
8.08.210 8.30.210
8.08.220 8.30.220
8.08.230 8.30.230
8.20.010 8.50.010
8.20.020 8.50.020
8.20.030 8.50.030
8.20.040 8.50.040
8.20.050 8.50.050
8.20.060 8.50.060
ch. 8.24 8.60.320
8.24.010 8.60.010
8.24.020 8.60.020
8.24.030 8.60.030
8.24.040 8.60.040
8.24.050 8.60.050
8.24.060 8.60.060
8.24.070 8.60.070
8.24.080 8.60.080
8.24.090 8.60.090
8.24.100 8.60.100
8.24.110 8.60.110
8.24.120 8.60.120
8.24.130 8.60.130
8.24.140 8.60.140
8.24.150 8.60.150
8.24.160 8.60.160
8.24.170 8.60.170
8.24.180 8.60.180
8.24.185 8.60.190
8.24.190 8.60.200
8.24.200 8.60.210
8.24.210 8.60.220
8.24.220 8.60.230
8.24.230 8.60.240
8.24.240 8.60.250
8.24.250 8.60.260
8.24.260 8.60.270
8.24.270 8.60.280
8.24.280 8.60.290
8.24.290 8.60.300
8.24.300 8.60.310
8.24.310 8.60.320
8.25.010 8.70.010
8.25.020 8.70.020
8.25.030 8.70.030
8.25.040 8.70.040
8.25.050 8.70.050
8.25.060 8.70.060
8.25.070 8.70.070
8.25.080 8.70.080
8.25.090 8.70.090
8.25.100 8.70.100
8.25.110 8.70.110
8.28.010 8.80.010
8.28.020 8.80.020
8.28.030 8.80.030
8.28.040 8.80.040
8.32.010 8.90.010
8.32.020 8.90.020
8.32.030 8.90.030
8.32.040 8.90.040
8.32.050 8.90.050
8.36.010 8.100.010
8.36.020 8.100.020
8.36.030 8.100.030
8.36.040 8.100.040
8.36.050 8.100.050
8.36.060 8.100.060
8.36.070 8.100.070
8.36.080 8.100.080
8.36.090 8.100.090
8.40.010 8.110.010
8.40.020 8.110.020
8.40.030 8.110.030
8.40.040 8.110.040
8.40.050 8.110.050
8.44.010 8.120.010
8.44.020 8.120.020
8.44.030 8.120.030
8.44.040 8.120.040
8.44.050 8.120.050
8.44.060 8.120.060
8.44.070 8.120.070
8.44.080 8.120.080
8.44.090 8.120.090
8.44.100 8.120.100
8.44.110 8.120.110
8.44.120 8.120.120
8.48.010 8.130.010
8.50.010 8.140.010
8.50.020 8.140.020
9.04.010 9.10.010
9.04.020 9.10.020
9.04.030 9.10.030
9.04.040 9.10.040
9.04.050 9.10.050
9.04.060 9.10.060
10.04.010 10.10.010
10.04.020 10.10.020
10.04.030 10.10.030
10.04.040 10.10.040
10.04.050 10.10.050
10.04.060 10.10.060
10.08.010 10.20.010
10.08.020 10.20.020
10.08.030 10.20.030
10.08.040 10.20.040
10.08.041 10.20.050
10.08.042 10.20.060
10.08.043 10.20.070
10.08.050 10.20.080
10.12.010 10.30.010
10.12.020 10.30.020
10.12.021 10.30.030
10.12.022 10.30.040
10.12.023 10.30.050
10.16.010 10.40.010
10.16.011 10.40.020
10.16.012 10.40.030
10.16.013 10.40.040
10.20.010 10.50.010
10.20.020 10.50.020
10.20.030 10.50.030
10.20.040 10.50.040
10.20.050 10.50.050
10.24.010 10.60.010
10.24.020 10.60.020
10.24.030 10.60.030
10.24.040 10.60.040
10.28.010 10.70.010
10.28.020 10.70.020
10.28.030 10.70.030
10.28.040 10.70.040
10.32.011 10.80.020
10.32.012 10.80.030
10.32.013 10.80.040
10.32.014 10.80.050
10.32.015 10.80.060
10.36.010 10.90.010
10.36.020 10.90.020
10.36.030 10.90.030
10.36.040 10.90.040
12.02.010 12.10.010
12.02.020 12.10.020
12.02.030 12.10.030
12.02.040 12.10.040
12.02.050 12.10.050
12.02.060 12.10.060
12.02.070 12.10.070
12.02.080 12.10.080
12.02.090 12.10.090
12.02.100 12.10.100
12.02.110 12.10.110
12.02.120 12.10.120
12.04.010 12.20.010
12.04.020 12.20.020
12.04.030 12.20.030
12.04.040 12.20.040
12.04.050 12.20.050
12.08.010 12.30.010
12.08.020 12.30.020
12.12.010 12.40.010
12.12.020 12.40.020
12.12.030 12.40.030
12.12.040 12.40.040
12.12.050 12.40.050
12.12.060 12.40.060
12.12.070 12.40.070
12.12.080 12.40.080
12.12.090 12.40.090
12.12.100 12.40.100
12.12.110 12.40.110
12.12.120 12.40.120
12.12.130 12.40.130
12.12.140 12.40.140
12.12.150 12.40.150
12.12.160 12.40.160
12.12.170 12.40.170
12.12.180 12.40.180
12.12.190 12.40.190
12.12.200 12.40.200
12.12.210 12.40.210
12.12.220 12.40.220
12.12.230 12.40.230
12.12.240 12.40.240
12.12.250 12.40.250
12.12.260 12.40.260
12.16.010 12.50.010
12.16.020 12.50.020
12.16.030 12.50.030
12.16.040 12.50.040
12.16.050 12.50.050
12.16.060 12.50.060
12.16.070 12.50.070
12.16.080 12.50.080
12.16.090 12.50.090
12.16.100 12.50.100
12.16.110 12.50.110
12.16.120 12.50.120
12.16.130 12.50.130
12.16.140 12.50.140
12.16.150 12.50.150
12.16.160 12.50.160
12.16.170 12.50.170
12.16.180 12.50.180
12.16.190 12.50.190
12.16.200 12.50.200
12.16.210 12.50.210
12.16.220 12.50.220
12.16.230 12.50.230
12.16.240 12.50.240
13.04.010 13.10.010
13.04.015 13.10.020
13.04.020 13.10.030
13.04.030 13.10.040
13.04.040 13.10.050
13.04.050 13.10.060
13.04.060 13.10.070
13.04.070 13.10.080
13.08.010 13.20.010
13.08.020 13.20.020
13.12.010 13.30.010
13.12.020 13.30.020
13.12.030 13.30.030
13.12.040 13.30.040
13.12.050 13.30.050
13.12.060 13.30.060
