CODE COMPARATIVE TABLE - 1991 CODE
This table gives the location within this Code of those sections of the 1991 Code, as updated through June 30, 1995, which are included herein. Sections of the 1991 Code, as supplemented, not listed herein have been omitted as repealed, superseded, obsolete or not of a general and permanent nature. For the location of ordinances adopted subsequent thereto, see the table immediately following this table.
EXPAND
1991 Code
Section Section
this Code
17.210.020 17.210.020
17.220.010 17.220.010
17.220.020 17.220.020
17.220.030 17.220.030
17.220.040 17.220.040
17.220.050 17.220.050
17.220.060 17.220.060
17.220.070 17.220.070
17.230.010 17.230.010
17.230.020 17.230.020
17.230.030 17.230.030
17.230.040 17.230.040
17.230.050 17.230.050
17.230.060 17.230.060
17.230.070 17.230.070
17.230.080 17.230.080
17.230.090 17.230.090
17.230.100 17.230.100
17.230.110 17.230.110
17.230.120 17.230.120
17.230.130 17.230.130
17.230.140 17.230.140
17.230.150 17.230.150
17.230.160 17.230.160
17.230.170 17.230.170
17.230.180 17.230.180
17.230.190 17.230.190
17.230.200 17.230.200
17.230.210 17.230.210
17.240.010 17.240.010
17.240.015 17.240.020
17.240.020 17.240.030
17.240.025 17.240.040
17.240.030 17.240.050
17.240.040 17.240.060
17.240.050 17.240.070
17.240.060 17.240.080
17.240.065 17.240.090
17.240.070 17.240.100
17.240.080 17.240.110
17.240.090 17.240.120
17.240.100 17.240.130
17.240.105 17.240.140
17.240.110 17.240.150
17.240.120 17.240.160
17.250.010 17.250.010
17.250.020 17.250.020
17.250.040 17.250.030
17.250.050 17.250.040
17.250.060 17.250.050
17.260.010 17.260.010
17.260.020 17.260.020
17.260.030 17.260.030
17.270.010 17.270.010
17.270.020 17.270.020
17.270.030 17.270.030
17.270.040 17.270.040
17.270.050 17.270.050
17.270.060 17.270.060
17.270.070 17.270.070
17.270.080 17.270.080
17.270.090 17.270.090
17.270.100 17.270.100
17.270.110 17.270.110
17.270.120 17.270.120
17.270.130 17.270.130
17.270.140 17.270.140
17.270.150 17.270.150
17.270.160 17.270.160
17.270.170 17.270.170
17.270.180 17.270.180
17.270.190 17.270.190
17.270.200 17.270.200
17.275.010 17.280.010
17.275.020 17.280.020
17.275.030 17.280.030
17.275.040 17.280.040
17.275.050 17.280.050
17.275.060 17.280.060
17.275.070 17.280.070
17.275.080 17.280.080
17.275.090 17.280.090
17.275.100 17.280.100
17.280.010 17.290.010
17.280.020 17.290.020
17.280.030 17.290.030
17.290.010 17.300.010
17.290.020 17.300.020
17.300.010 17.310.010
17.300.020 17.310.020
17.300.030 17.310.030
17.300.040 17.310.040
17.300.050 17.310.050
17.300.060 17.310.060
17.310.010 17.320.010
17.310.020 17.320.020
17.310.030 17.320.030
17.310.040 17.320.040
17.310.050 17.320.050
17.310.060 17.320.060
17.310.070 17.320.070
17.310.080 17.320.080
17.310.090 17.320.090
17.310.100 17.320.100
17.310.110 17.320.110
17.310.120 17.320.120
17.310.130 17.320.130
17.310.140 17.320.140
17.310.150 17.320.150
17.320.010 17.330.010
17.330.010 17.340.010
17.330.020 17.340.020
17.330.030 17.340.030
17.330.040 17.340.040
17.330.050 17.340.050
17.330.060 17.340.060
17.340.010 17.350.010
17.340.020 17.350.020
17.340.030 17.350.030
17.340.040 17.350.040
17.340.050 17.350.050
17.340.060 17.350.060
17.340.070 17.350.070
17.340.080 17.350.080
17.340.090 17.350.090
17.340.100 17.350.100
17.340.110 17.350.110
17.340.120 17.350.120
17.340.140 17.350.130
17.340.150 17.350.140
17.340.160 17.350.150
17.340.170 17.350.160
17.340.180 17.350.170
17.350.010 17.360.010
17.350.020 17.360.020
17.360.010 17.370.010
17.360.020 17.370.020
17.360.030 17.370.030
17.360.040 17.370.040
17.360.050 17.370.050
17.360.060 17.370.060
17.360.070 17.370.070
17.370.010 17.380.010
17.370.020 17.380.020
17.370.030 17.380.030
17.370.040 17.380.040
17.370.050 17.380.050
17.370.060 17.380.060
17.370.070 17.380.070
17.370.080 17.380.080
17.370.090 17.380.090
17.370.100 17.380.100
17.370.110 17.380.110
17.370.120 17.380.120
17.370.130 17.380.130
17.370.140 17.380.140
17.380.010 17.390.010
17.380.020 17.390.020
17.380.030 17.390.030
17.390.010 17.400.010
