Column header,Document ID,Document,Count,Mean,Mode,Median,Standard deviation,Minimum,Maximum,Skewness,Kurtosis,25% quantile,50% quantile,75% quantile
Number of Words in Document,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",1458,1458.0,1458,1458.0,,1458,1458,,,1458.0,1458.0,1458.0
Number of Words in Document,2,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-15-2022_Codes .txt"")",1696,1696.0,1696,1696.0,,1696,1696,,,1696.0,1696.0,1696.0
Number of Words in Document,3,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-28-2023_Codes.txt"")",1704,1704.0,1704,1704.0,,1704,1704,,,1704.0,1704.0,1704.0
