SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2016-13  5-26-2016 Included 18
14B-2016  6-23-2016 Included 19
16-2016  6-23-2016 Included 19
10-2016  8-11-2016 Included 19
19-2016  8-11-2016 Included 19
12-2016  8-25-2016 Included 19
18-2016  8-25-2016 Included 19
20-2016  8-25-2016 Included 19
23-2016  8-25-2016 Included 19
30-2016 11-10-2016 Included 19
31-2016 12- 8-2016 Included 19
02-2017  1-12-2017 Included 19
06-2017-A  3- 9-2017 Included 20
2017-04-A  3-23-2017 Included 20
08-2017  4-13-2017 Included 20
01-2017-C  4-27-2017 Included 20
09-2017  4-27-2017 Included 20
07-2017  5-25-2017 Included 20
05A-2017  7-13-2017 Included 20
10-2017  7-13-2017 Included 20
11-2017  7-13-2017 Included 20
2016-25 12- 8-2016 Included 21
14-2017 12-14-2017 Included 21
15-2017-B 11- 9-2017 Included 21
16-2017-B 12-19-2017 Included 21
17-2017 12-19-2017 Included 21
18-2017 12-19-2017 Included 21
02-2018  3-22-2018 Included 22
03-2018  4-26-2018 Included 22
09-2018  5-24-2018 Included 22
2018-01 JL  5-24-2018 Included 22
2018-02 JL  5-24-2018 Included 22
2018-03 JL  5-24-2018 Included 22
18-2018 11- 8-2018 Included 22
19-2018 11- 8-2018 Included 22
20-2018 11- 8-2018 Included 22
21-2018 11- 8-2018 Included 22
22-2018 11- 8-2018 Included 22
23-2018 11- 8-2018 Included 22
24-2018 12-13-2018 Included 22
H.B. 590  4- 2-2019 Included 23
1-2019  1-10-2019 Included 23
02-2019  3-28-2019 Included 23
03-2019  5- 9-2019 Included 23
04-2019  5- 9-2019 Included 23
6-2019  4-25-2019 Included 23
7-2019  4-25-2019 Included 23
2019-08  4-25-2019 Included 23
09-2019  5- 9-2019 Included 23
2019-10  4-25-2019 Included 23
11-2019  6-13-2019 Included 23
17-2018 10-11-2018 Included 24
2019-05  3-28-2019 Included 24
12-2019  8-22-2019 Included 24
14-2019  9-24-2019 Included 24
2019-15 11-11-2019 Included 24
2020-01  1- 9-2020 Included 24
2020-02  2-27-2020 Included 25
2020-03  5-14-2020 Included 25
06-2020  3-12-2020 Included 25
07-2020  3-12-2020 Included 25
2020-08  2-27-2020 Omitted 25
2020-09  3-12-2020 Included 25
2020-10  3-12-2020 Included 25
2020-11  3-12-2020 Included 25
2020-22 11-12-2020 Included 26
2020-24 12-10-2020 Included 26
2021-01  1-28-2021 Included 26
2021-02  2-11-2021 Included 26
2021-04  3-11-2021 Included 26
2021-06  3-11-2021 Included 26
2021-07  3-11-2021 Included 26
2021-08  4- 8-2021 Included 26
2021-09  4- 8-2021 Included 26
2021-10  4- 8-2021 Included 26
2021-11  4- 8-2021 Included 26
2021-13  4-22-2021 Included 26
2021-14  3-25-2021 Included 26
2021-05  5-27-2021 Included 27
2021-16  5-27-2021 Included 27
2021-17  8-26-2021 Included 27
2021-18  8-26-2021 Included 27
2021-19  5-27-2021 Included 27
2021-22  8-26-2021 Included 27
23-2021  9- 9-2021 Included 27
2021-24  9- 9-2021 Included 27
26-2021  9- 9-2021 Included 27
2021-27  9-23-2021 Included 27
2021-28 10-28-2021 Included 27
2021-29 11-10-2021 Included 27
2021-21  7- 8-2021 Included 28
01-2022  3-10-2022 Included 28
2022-02  3-24-2022 Included 28
2022-03  4-14-2022 Included 28
2022-06  5-12-2022 Included 28
07-2022  6-23-2022 Included 28
