SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord./Res. No. Date
Adopted Included/
Omitted Supp. No.
2018-25 12- 3-18 Omitted 52
2019-01  1- 7-19 Included 52
2019-02  1- 7-19 Omitted 52
2019-03  2-25-19 Omitted 52
2019-04  3- 4-19 Included 52
2019-05  3- 4-19 Omitted 52
2019-06  3- 4-19 Included 52
2019-07  3-21-19 Included 52
2019-06(B)  3- 4-19 Included 52, Add.
2019-09  6- 4-19 Included 53
2019-14 10- 7-19 Included 54
2020-01  1- 6-20 Omitted 55
2020-02  2-18-20 Omitted 55
2020-03  3-26-20 Omitted 55
2020-04  4-27-20 Omitted 55
2020-05  6- 1-20 Included 55
2020-06  6-15-20 Omitted 55
2020-07  6-15-20 Omitted 55
2020-08  6-15-20 Omitted 55
2020-09  6-15-20 Omitted 55
Act of
06-29-2020(1)  6-29-20 Included 56
2020-06 (Ord. Not Sent) Omitted 57
2020-07 (Ord. Not Sent) Omitted 57
2020-08 (Ord. Not Sent) Omitted 57
2020-09 (Ord. Not Sent) Omitted 57
2020-10 (Ord. Not Sent) Omitted 57
2020-11 (Ord. Not Sent) Omitted 57
2020-12 (Ord. Not Sent) Omitted 57
2020-13 (Ord. Not Sent) Omitted 57
2020-14 (Ord. Not Sent) Omitted 57
2020-15 (Ord. Not Sent) Omitted 57
2020-16 12-15-20 Included 57
2020-17 (Ord. Not Sent) Omitted 57
2021-02  5- 3-21 Included 58
2021-10 11- 1-21 Included 58
2022-03  2-17-22 Included 58
2021-07  7-26-21 Included 58, Add.
2022-05  4-25-22 Included 58, Add.
2022-12  8-29-22 Included 59
2022-13 11-15-22 Included 59
2022-14 11-28-22 Omitted 59
2022-15 12- 6-22 Included 59
2022-17 12-19-22 Included 59
2023-01  1- 9-23 Included 59
2023-03  2-14-23 Included 60
2023-07  6- 5-23 Included 60
2023-08  6- 5-23 Included 60
2023-10  6-26-23 Included 61
