SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
O-2019-36  8- 5-19 Include 92
O-2019-37  8- 5-19 Include 92
O-2019-38  8- 5-19 Include 92
O-2019-39  8- 5-19 Include 92
O-2019-41  8- 5-19 Include 92
O-2019-42  8-19-19 Include 92
O-2019-46  9- 3-19 Include 92
O-2019-47  9- 3-19 Include 92
O-2019-49  9-16-19 Include 92
O-2019-50 10- 7-19 Include 93
O-2019-51 10- 7-19 Include 93
O-2019-61 11-18-19 Include 93
O-2019-65 12- 3-19 Include 93
O-2019-67 12- 3-19 Include 93
O-2019-72 12-16-19 Include 93
O-2020-1  1-13-20 Include 94
O-2020-2  1-13-20 Include 94
O-2020-3  1-13-20 Include 94
O-2020-5  1-21-20 Include 94
O-2020-9  2-17-20 Include 94
O-2020-12  3-16-20 Include 94
O-2020-23  5- 4-20 Include 95
O-2020-24  5- 4-20 Include 95
O-2020-29  6-15-20 Include 95
O-2020-31  6-15-20 Include 95
O-2020-37  8- 3-20 Include 96
O-2020-38  8-17-20 Include 96
O-2020-45  8-17-20 Include 96
O-2020-47  9- 8-20 Include 96
O-2020-49  9- 8-20 Omit 96
O-2020-50  9- 8-20 Include 96
O-2020-51  9-21-20 Include 96
O-2020-52  9-21-20 Include 96
O-2020-69 11-16-20 Include 97
O-2020-70 11-16-20 Include 97
O-2020-71 12- 7-20 Include 97
O-2020-82 12-21-20 Omit 97
O-2021-1  2-15-21 Include 98
O-2021-2  2-15-21 Include 98
O-2021-12  4-19-21 Include 99
O-2021-24  5-17-21 Include 100
O-2021-29  7- 6-21 Include 100
O-2021-40  8-16-21 Include 101
O-2021-41  8-16-21 Include 101
O-2021-44  9- 7-21 Include 101
O-2022-1  2- 7-22 Include 102
O-2022-6  2-21-22 Include 102
O-2022-8  3- 7-22 Include 102
O-2022-10  3- 7-22 Include 102
O-2022-11  3-21-22 Include 102
O-2022-12  3-21-22 Include 102
O-2022-27  6- 6-22 Include 103
O-2022-29  8-15-22 Include 104
O-2022-33  9- 6-22 Include 104
O-2022-34  9- 6-22 Include 104
O-2022-37  9- 6-22 Include 104
O-2022-42 11- 7-22 Include 105
O-2022-43 11-21-22 Include 105
O-2023-11  3- 6-23 Include 106
O-2023-26  5- 1-23 Include 107
O-2023-29  6-20-23 Include 107
O-2023-30  7- 3-23 Include 107
O-2023-31  7- 3-23 Include 107
O-2023-33  7-17-23 Include 108
O-2023-36  8- 7-23 Include 108
O-2023-40  8- 7-23 Include 108
O-2023-41  8-21-23 Include 108
