SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ordinance
Number Date
Adopted Include/
Omit Supplement
Number
18-05-027  5-21-18 Omit 13
18-06-028  6- 4-18 Omit 13
18-07-035  7- 2-18 Omit 13
18-09-044  9- 4-18 Omit 13
18-09-045  9- 4-18 Omit 13
18-09-046  9- 4-18 Omit 13
18-09-0147  9- 4-18 Omit 13
18-09-049  9-17-18 Omit 13
18-10-051 10- 1-18 Omit 13
18-10-053 10-15-18 Omit 13
18-10-054 10-15-18 Omit 13
18-11-056 11- 5-18 Omit 13
18-11-057 11- 5-18 Omit 13
18-11-060 11- 5-18 Omit 13
18-11-062 11- 5-18 Omit 13
18-11-063 11- 5-18 Omit 13
18-12-064 12- 3-18 Omit 13
18-12-065 12- 3-18 Omit 13
18-12-070 12- 3-18 Omit 13
18-12-071 12- 3-18 Omit 13
19-01-001  1- 7-19 Omit 13
19-01-002  1- 7-19 Omit 13
19-01-005  1- 7-19 Include 13
19-02-016  2-11-19 Include 13
19-02-017  2-11-19 Include 13
19-02-018  2-11-19 Include 13
19-02-020  2-11-19 Omit 13
19-02-022  2-11-19 Omit 13
19-02-024  2-11-19 Include 13
19-02-028  2-11-19 Omit 13
19-03-030  3- 4-19 Omit 13
19-04-037  4- 1-19 Omit 13
19-04-038  4- 1-19 Include 13
19-05-042  5- 6-19 Omit 13
19-05-043  5- 6-19 Omit 13
19-05-044  5- 6-19 Omit 13
19-05-045  5- 6-19 Omit 13
19-05-046  5- 6-19 Omit 13
19-05-047  5- 6-19 Omit 13
19-05-049  5- 6-19 Omit 13
19-06-052  6- 3-19 Omit 13
19-07-058  7-15-19 Omit 13
19-04-060  7-15-19 Include 13
19-07-061  7-15-19 Omit 13
19-09-065  9- 3-19 Include 13
19-09-066  9- 3-19 Omit 13
19-09-067  9- 3-19 Omit 13
19-09-069  9- 3-19 Omit 13
19-10-072 10- 7-19 Omit 13
19-10-073 10- 7-19 Omit 13
19-10-075 10- 7-19 Omit 13
19-10-077 10- 7-19 Omit 13
19-10-078 10- 7-19 Include 13
19-10-080 10- 7-19 Omit 13
19-10-081 10-21-19 Omit 13
19-10-082 10-21-19 Omit 13
19-12-085 12- 2-19 Omit 13
19-12-086 12- 2-19 Omit 13
19-12-088 12- 2-19 Omit 13
19-12-089 12- 2-19 Include 13
19-12-094 12- 2-19 Include 13
19-12-095 12- 2-19 Omit 13
20-01-010  1-21-20 Omit 14
20-02-013  2-24-20 Omit 14
20-02-014  2-24-20 Omit 14
20-02-018  2-24-20 Omit 14
20-03-019  3- 9-20 Omit 14
20-03-020  3- 9-20 Include 14
20-03-021  3- 9-20 Include 14
20-03-022  3- 9-20 Omit 14
20-06-030  6- 1-22 Omit 14
20-07-033  7- 6-20 Omit 14
20-07-036  7-20-20 Omit 14
20-08-037  8- 3-20 Omit 14
20-10-045 10- 5-20 Omit 14
20-10-046 10- 5-20 Omit 14
20-10-047 10- 5-20 Omit 14
20-10-048 10- 5-20 Omit 14
20-10-049 10-19-20 Omit 14
20-11-050 11- 2-20 Omit 14
20-11-051 11- 2-20 Include 14
20-11-054 11-16-20 Omit 14
20-12-057 12- 7-20 Include 14
20-12-059 12- 7-20 Omit 14
20-12-061 12-21-20 Omit 14
20-12-063 12-21-20 Omit 14
