CODE COMPARATIVE TABLE
Editorial Note: The 1959 Code sections listed in this table are taken from the 1959 City of East Point Code, as amended through 1977. The disposition in this code of ordinances adopted from April 4, 1977 is listed in the Ordinance Disposition Table which follows this table. In these tables, "N.C." means not codified; "R" means repealed; "S" means superseded; and "et seq." means "and the sections which follow."
EXPAND
Code 1959 Code 1980
4-26 R
4-26.1 R
4-27 R
4-28 R
4-29 R
4-30 R
4-31 R
4-32 R
4-33 R
4-34 R
4-35 R
4-36 R
4-37 R
4-38 R
4-39 R
4-40 R
4-41 1-1021
4-42 R
4-43 R
4-44 11-1063
4-45 11-1064
4-47 11-1065
4-48 11-1066
4-49 R
4-50 11-1025
4-51 11-1026
4-52 11-1027
4-53 R
4-54 R
4-61 R
4-62 R
4-63 R
4-64 R
4-64.1 R
4-65 R
4-66 R
4-67 11-1045
4-68 R
4-69 R
4-70 R
4-71 R
4-72 R
4-73 R
4-74 R
4-75 S 11-1006
4-76 R
4-76.1 R
4-77 R
4-78 R
4-78.1 R
4-79 11-1046
4-79.1 11-1047
4-80 R
4-81 R
4-82 R
4-83 R
4-84 R
4-85 S 11-1043
4-86 R
4-87 R
4-88 R
4-89 R
4-90 R
4-91 S 11-1021
4-92 R
4-93 R
4-94 R
4-95 R
4-96 R
4-97 R
4-98 R
4-99 R
4-100 R
4-101 R
4-102 R
4-103 R
4-113 11-1067
4-114 R
4-115 R
4-126 11-1101
4-127 11-1102
4-128 11-1103
4-129 11-1004
4-130 S 11-1105
4-131 11-1106
4-132 11-1107
4-133 11-1108
4-134 11-1109
4-135 11-1110
4-136 11-1111
4-137 11-1112
4-138 S 11-1113
4-139 11-1114
4-140 11-1115
4-141 11-1116
4-142 11-1117
4-143 11-1118
4-144 11-1119
4-145 11-1120
4-146 S 11-1015
4-147 S 11-1121
4-148 S 11-1122
4-149 11-1123
4-150 11-1124
4-151 11-1125
4-152 11-1126
4-153 11-1127
4-154 11-1128
4-155 11-1129
4-156 S 11-1023
4-157 R
4-158 11-1130
4-159 11-1131
4-160 11-1132
4-161 11-1133
4-162 11-1134
4-163 11-1135
4-164 11-1016
4-165 11-1136
4-166 11-1137
4-167 11-1138
4-168 11-1139
4-169 11-1140
4-170 11-1141
4-171 11-1142
4-172 11-1143
4-173 R
4-174 R
4-175 R
4-176 R
4-177 11-1144
4-178 11-1145
4-186 11-1081
4-187 11-1082
4-188 11-1083
4-189 11-1084
4-190 11-1085
4-191 11-1086
4-192 11-1087
4-193 11-1088
4-194 11-1089
4-195 11-1090
4-196 11-1091
4A-1 11-4001
4A-2 11-4002
4A-3 11-4003
5-1 7-3002
5-2 7-3001
5-3 7-3003
5-4 7-3004
5-5 R
5-6 R
5-7 R
5-8 R
5-9 R
5-10 7-3011
5-11 7-3012
5-12 R
5-13 7-3013
5-14 7-3015
