CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the Codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
Res. No. 01-0373 3-21-2001 1 10-252
art. 7, § 3 10-207
art. 8 10-252
art. 8, § 1 10-239
— 10-283
art. 8, § 2 10-240
— 10-284
art. 8, § 3 10-241
— 10-285
art. 8, § 4 10-242
— 10-286
art. 8, § 5 10-243
— 10-287
art. 8, § 6 10-244
— 10-288
art. 8, § 7 10-245
— 10-289
art. 8, § 8 10-246
— 10-290
art. 8, § 9 10-247
art. 8, § 10 10-248
art. 8, § 11 10-249
art. 8, § 12 10-250
art. 8, § 13 10-251
art. 8, § 16 10-238
Ord. No. 07-12-09 12-12-2007 art. 1, § 1 18-41
art. 1, § 2 18-42
art. 1, § 3 18-43
art. 1, § 4 18-44
art. 1, § 5 18-45
art. 1, § 6 18-46
art. 1, § 7 18-47
art. 2, § 1 18-68
art. 2, § 2 18-69
art. 2, § 3 18-70
art. 2, § 4 18-71
art. 2, § 5 18-72
art. 2, § 6 18-73
art. 2, § 7 18-74
art. 3, § 1 18-92
art. 3, § 2 18-93
art. 3, § 3 18-94
art. 3, § 4 18-95
art. 3, § 5 18-96
art. 3, § 6 18-97
art. 3, § 7 18-98
art. 4, § 1 18-125
art. 4, § 2 18-126
art. 4, § 3 18-127
art. 5, § 1 18-153
art. 5, § 2 18-154
art. 5, § 3 18-155
art. 5, § 4 18-156
art. 5, § 5 18-157
art. 5, § 6 18-158
art. 6, § 1 18-185
art. 6, § 2 18-186
art. 6, § 3 18-187
art. 6, § 4 18-1
art. 6, § 5 18-2
art. 6, § 6 18-3
art. 6, § 7 18-4
art. 6, § 8 18-5
art. 6, § 9 18-6
Ord. No. 08-01-20 1-2-2008 — 28-51
Ord. No. 08-02-26 2-5-2008 art. 1, § 1 2-1
art. 1, § 2 2-2
art. 1, § 3 2-3
art. 1, § 4 2-4
art. 1, § 5 2-5
art. 1, § 6 2-6
art. 2, § 1 2-31
art. 2, § 3 2-32
art. 2, § 4 2-33
art. 2, § 5 2-34
art. 3, § 1 2-57
art. 3, § 2 2-58
art. 3, § 3 2-59
art. 4, § 1 2-77
art. 4, § 2 2-77
art. 4, § 3 2-78, 2-79
art. 4, § 4 2-78, 2-79
art. 4, § 5 2-80
art. 4, § 6 2-81
art. 4, § 7 2-82
art. 4, § 8 2-78, 2-79
art. 5, § 1 2-108
art. 5, § 2 2-109
Ord. No. 08-02-22 2-6-2008 art. 3, § 1 14-77
art. 3, § 2 14-78
art. 3, § 3 14-79
art. 3, § 4 14-80
art. 3, § 5 14-81
art. 3, § 6 14-82
art. 3, § 7 14-83
art. 4, § 1 14-110
art. 4, § 2 14-111
art. 4, § 3 14-112
art. 4, § 4 14-113
art. 4, § 5 14-114
art. 4, § 6 14-115
art. 4, § 7 14-116
art. 5, § 1 14-146
art. 5, § 2 14-147
art. 5, § 3 14-148
art. 5, § 4 14-149
art. 5, § 5 14-150
art. 5, § 6 14-151
art. 5, § 7 14-152
art. 6, § 1 14-173
art. 6, § 10 14-182
art. 6, § 11 14-183
art. 6, § 2 14-174
art. 6, § 3 14-175
art. 6, § 4 14-176
art. 6, § 5 14-177
art. 6, § 6 14-178
art. 6, § 7 14-179
art. 6, § 8 14-180
art. 6, § 9 14-181
art. 7, § 1 14-205
art. 7, § 2 14-206
art. 7, § 3 14-207
art. 7, § 4 14-208
art. 7, § 5 14-209
art. 7, § 6 14-210
art. 7, § 7 14-211
art. 7, § 8 14-212
art. 7, § 9 14-213
art. 7, § 10 14-214
art. 7, § 11 14-215
art. 7, § 12 14-216
art. 7, § 13 14-217
art. 7, § 14 14-218
art. 8, § 1 14-245
art. 8, § 2 14-246
art. 8, § 3 14-247
art. 8, § 4 14-248
art. 8, § 5 14-249
art. 8, § 6 14-250
art. 8, § 7 14-251
art. 8, § 8 14-252
art. 8, § 9 14-253
art. 8, § 10 14-254
art. 8, § 11 14-255
art. 8, § 12 14-256
art. 8, § 13 14-257
art. 8, § 14 14-258
art. 8, § 15 14-260
Ord. No. 08-02-23 2-6-2008 1 10-314
2 10-315
3 10-316
4 10-317
5 10-318
6 10-319
7 10-320
8 10-321
9 10-322
10 10-323
11 10-324
12 10-325
13 10-326
14 10-327
15 10-328
16 10-329
17 10-330
18 10-331
19 10-332
20 10-333
21 10-334
Ord. No. 08-04-30 4-1-2008 art. 1, § 1 4-1
art. 1, § 2 4-2
art. 2, § 1 4-25
art. 2, § 2 4-26
art. 2, § 3 4-27
art. 2, § 4 4-28
art. 2, § 5 4-29
art. 2, § 6 4-30
art. 2, § 7 4-31
art. 2, § 8 4-32
art. 2, § 9 4-33
art. 2, § 10 4-34
art. 2, § 11 4-35
art. 2, § 12 4-36
art. 2, § 13 4-37
art. 2, § 14 4-38
art. 2, § 15 4-39
art. 2, § 16 4-40
art. 2, § 17 4-41
art. 2, § 18 4-42
art. 2, § 19 4-43
art. 3, § 1 4-75
art. 3, § 2 4-76
art. 4, § 1 4-96
art. 4, § 2 4-97
art. 4, § 3 4-98
art. 5, § 1 4-125
art. 5, § 2 4-126
art. 5, § 3 4-127
art. 5, § 4 4-128
art. 5, § 5 4-129
art. 5, § 6 4-130
art. 5, § 7 4-131
art. 5, § 8 4-132
art. 5, § 9 4-133
art. 5, § 10 4-134
art. 5, § 11 4-135
art. 5, § 12 4-136
art. 6, § 1 4-156
art. 6, § 2 4-157
art. 6, § 3 4-158
art. 6, § 4 4-159
art. 7, § 1 4-187
art. 7, § 2 4-188
art. 7, § 3 4-189
art. 7, § 4 4-190
art. 7, § 5 4-191
art. 7, § 6 4-192
art. 7, § 7 4-193
art. 7, § 8 4-194
art. 7, § 9 4-195
art. 7, § 10 4-196
art. 7, § 11 4-197
art. 7, § 12 4-198
art. 7, § 13 4-199
art. 7, § 14 4-200
art. 7, § 16 4-201
art. 8, § 1 4-226
art. 8, § 2 4-227
art. 8, § 3 4-228
art. 8, § 4 4-229
art. 8, § 5 4-230
art. 8, § 6 4-231
art. 8, § 7 4-232
art. 8, § 8 4-233
art. 8, § 9 4-234
art. 8, § 10 4-235
art. 9, § 1 4-3
Ord. No. 08-04-31 4-1-2008 art. 1, § 1 8-1
art. 2, § 1 8-27
art. 2, § 2 8-28
art. 2, § 3 8-29
art. 2, § 4 8-30
art. 2, § 5 8-31
art. 2, § 6 8-32
art. 2, § 7 8-33
art. 2, § 8 8-34
art. 2, § 9 8-35
art. 2, § 10 8-36
art. 2, § 11 8-37
art. 4, § 1 8-2
art. 4, § 2 8-3
Ord. No. 08-05-36 5-6-2008 art. 1, § 1 30-1
art. 1, § 2 30-21
art. 1, § 3 30-22
art. 2, § 1 30-48
art. 2, § 2 30-49
art. 2, § 3 30-50
art. 2, § 4 30-51
art. 2, § 5 30-52
art. 2, § 6 30-53
art. 2, § 7 30-54
art. 2, § 8 30-55
art. 2, § 9 30-56
art. 2, § 10 30-57
art. 2, § 11 30-58
art. 2, § 12 30-59
art. 2, § 13 30-60
Ord. No. 08-12-44 12-2-2008 — 10-55, 10-56
Ord. No. 09-05-50 5-5-2009 art. 3, § 1 14-77
art. 3, § 2 14-78
art. 3, § 3 14-79
art. 3, § 4 14-80
art. 3, § 5 14-81
art. 3, § 6 14-82
art. 3, § 7 14-83
art. 4, § 1 14-110
art. 4, § 2 14-111
art. 4, § 3 14-112
art. 4, § 4 14-113
art. 4, § 5 14-114
art. 4, § 6 14-115
art. 4, § 7 14-116
art. 5, § 1 14-146
art. 5, § 2 14-147
art. 5, § 3 14-148
art. 5, § 4 14-149
art. 5, § 5 14-150
art. 5, § 6 14-151
art. 5, § 7 14-152
art. 6, § 1 14-173
art. 6, § 2 14-174
art. 6, § 3 14-175
art. 6, § 4 14-176
art. 6, § 5 14-177
art. 6, § 6 14-178
art. 6, § 7 14-179
art. 6, § 8 14-180
art. 6, § 9 14-181
art. 6, § 10 14-182
art. 6, § 11 14-183
art. 7, § 1 14-205
art. 7, § 2 14-206
art. 7, § 3 14-207
art. 7, § 4 14-208
art. 7, § 5 14-209
art. 7, § 6 14-210
art. 7, § 7 14-211
art. 7, § 8 14-212
art. 7, § 9 14-213
art. 7, § 10 14-214
art. 7, § 11 14-215
art. 7, § 12 14-216
art. 7, § 13 14-217
art. 7, § 14 14-218
art. 8, § 1 14-245
art. 8, § 10 14-254
art. 8, § 11 14-255
art. 8, § 12 14-256
art. 8, § 13 14-257
art. 8, § 14 14-258
art. 8, § 15 14-259
art. 8, § 16 14-260
art. 8, § 2 14-246
art. 8, § 3 14-247
art. 8, § 4 14-248
art. 8, § 5 14-249
art. 8, § 6 14-250
art. 8, § 7 14-251
art. 8, § 8 14-252
art. 8, § 9 14-253
Ord. No. 09-09-56 9-1-2009 art. 1, § 1 8-1
art. 2, § 1 8-27
art. 2, § 2 8-28
art. 2, § 3 8-29
art. 2, § 4 8-30
art. 2, § 5 8-31
art. 2, § 6 8-32
art. 2, § 7 8-33
art. 2, § 8 8-34
art. 2, § 9 8-35
art. 2, § 10 8-36
art. 2, § 11 8-37
art. 4, § 1 8-2
art. 4, § 2 8-3
Ord. No. 10-03-68 3-30-2010 art. 1, § 1 18-41
art. 6, § 11 18-8
art. 6, § 12 18-9
art. 6, § 13 18-10
Ord. No. 10-03-69 3-30-2010 art. 1, § 1 20-19
art. 1, § 2 20-20
art. 1, § 3 20-23
art. 1, § 4 20-24
Ord. No. 10-03-70 3-30-2010 art. 1, § 1 28-19
art. 1, § 2 28-20
art. 1, § 3(a) 28-21
art. 2, § 2(a) 28-51
art. 2, § 5(a) 28-54
art. 2, § 5(b) 28-54
art. 3, § 6(a) 28-97
Ord. No. 10-05-71 5-4-2010 art. 6, § 10 18-7
Ord. No. 10-05-72 5-4-2010 art. 1, § 1 4-1
art. 1, § 2 4-2
art. 2, § 1 4-25
art. 2, § 2 4-26
art. 2, § 3 4-27
art. 2, § 4 4-28
art. 2, § 5 4-29
art. 2, § 6 4-30
art. 2, § 7 4-31
art. 2, § 8 4-32
art. 2, § 9 4-33
art. 2, § 10 4-34
art. 2, § 11 4-35
art. 2, § 12 4-36
art. 2, § 13 4-37
art. 2, § 14 4-38
art. 2, § 15 4-39
art. 2, § 16 4-40
art. 2, § 17 4-41
art. 2, § 18 4-42
art. 2, § 19 4-43
art. 3, § 1 4-75
art. 3, § 2 4-76
art. 4, § 1 4-96
art. 4, § 2 4-97
art. 4, § 3 4-98
art. 5, § 1 4-125
art. 5, § 2 4-126
art. 5, § 3 4-127
art. 5, § 4 4-128
art. 5, § 5 4-129
art. 5, § 6 4-130
art. 5, § 7 4-131
art. 5, § 8 4-132
art. 5, § 9 4-133
art. 5, § 10 4-134
art. 5, § 11 4-135
art. 5, § 12 4-136
art. 6, § 1 4-156
art. 6, § 2 4-157
art. 6, § 3 4-158
art. 6, § 4 4-159
art. 7, § 1 4-187
art. 7, § 2 4-188
art. 7, § 3 4-189
art. 7, § 4 4-190
art. 7, § 5 4-191
art. 7, § 6 4-192
art. 7, § 7 4-193
art. 7, § 8 4-194
art. 7, § 9 4-195
art. 7, § 10 4-196
art. 7, § 11 4-197
art. 7, § 12 4-198
art. 7, § 13 4-199
art. 7, § 14 4-200
art. 7, § 16 4-201
art. 8, § 1 4-226
art. 8, § 2 4-227
art. 8, § 3 4-228
art. 8, § 4 4-229
art. 8, § 5 4-230
art. 8, § 6 4-231
art. 8, § 7 4-232
art. 8, § 8 4-233
art. 8, § 9 4-234
art. 8, § 10 4-235
art. 9, § 1 4-3
Ord. No. 10-12-78 12-7-2010 art. 1, § 1 20-19
art. 1, § 2 20-20
art. 1, § 3 20-21
art. 1, § 4 20-22
art. 2, § 1 20-23
art. 2, § 2 20-24
Ord. No. 10-12-80 12-7-2010 art. 1, § 1 2-1
art. 1, § 2 2-2
art. 1, § 3 2-3
art. 1, § 4 2-4
art. 1, § 5 2-5
art. 1, § 6 2-6
art. 2, § 1 2-31
art. 2, § 2 2-32
art. 2, § 3 2-33
art. 2, § 4 2-34
art. 3, § 1 2-57
art. 3, § 2 2-58
art. 3, § 3 2-59
art. 4, § 1 2-77
art. 4, § 2 2-77
art. 4, § 3 2-78, 2-79
art. 4, § 4 2-78, 2-79
art. 4, § 5 2-80
art. 4, § 6 2-81
art. 4, § 7 2-82
art. 4, § 2-78, 2-79
art. 5, § 1 2-108
art. 5, § 2 2-109
art. 6 2-132
Ord. No. 11-02-81 2-1-2011 art. 6, § 9 18-6
Ord. No. 11-03-83 3-1-2011 art. 2, § 1 18-68
art. 2, § 2 18-69
art. 2, § 3 18-71
art. 2, § 4 18-72
art. 2, § 5 18-73
art. 2, § 6 18-74
Ord. No. 11-09-95 9-6-2011 art. 1, § 1 2-1
Ord. No. 11-12-98 12-6-2011 — 4-129, 4-130
Ord. No. 12-05-103 5-1-2012 art. 4, § 1 2-77
art. 4, § 2 2-78, 2-79
art. 4, § 4 2-80
art. 4, § 5 2-81
art. 4, § 6 2-82
Ord. No. 12-06-106 6-5-2012 art. 4, § 1 2-77
art. 4, § 2 2-78
art. 4, § 3 2-79
art. 4, § 4 2-80
art. 4, § 5 2-81
art. 4, § 6 2-82
Ord. No. 12-08-108 8-7-2012 art. 4, § 1 2-77
art. 4, § 2 2-78
art. 4, § 3 2-79
art. 4, § 4 2-80
art. 4, § 5 2-81
art. 4, § 6 2-82
Ord. No. 12-11-109 11-6-2012 1 2-77
2 2-78
3 2-79
4 2-80
5 2-81
6 2-82
Ord. No. 12-11-110 11-6-2012 art. 1, § 1 20-19
art. 1, § 2 20-20
art. 1, § 3 20-21
art. 1, § 4 20-22
art. 2, § 1 20-23
art. 2, § 2 20-24
Ord. No. 12-11-111 11-6-2012 art. 1, § 1 18-41
art. 1, § 2 18-42
art. 1, § 3 18-43
art. 1, § 4 18-44
art. 1, § 5 18-45
art. 1, § 6 18-46
art. 1, § 7 18-47
art. 2, § 1 18-68
art. 2, § 2 18-69
art. 2, § 3 18-70
art. 2, § 4 18-71
art. 2, § 5 18-72
art. 2, § 6 18-73
art. 2, § 7 18-74
art. 3, § 1 18-92
art. 3, § 2 18-93
art. 3, § 3 18-94
art. 3, § 4 18-95
art. 3, § 5 18-96
art. 3, § 6 18-97
art. 3, § 7 18-98
art. 4, § 1 18-125
art. 4, § 2 18-126
art. 4, § 3 18-127
art. 5, § 1 18-153
art. 5, § 2 18-154
art. 5, § 3 18-155
art. 5, § 4 18-156
art. 5, § 5 18-157
art. 5, § 6 18-158
art. 6, § 1 18-185
art. 6, § 2 18-186
art. 6, § 3 18-187
art. 6, § 4 18-1
art. 6, § 5 18-2
art. 6, § 6 18-3
art. 6, § 7 18-4
art. 6, § 8 18-5
art. 6, § 9 18-6
art. 6, § 10 18-7
art. 6, § 11 18-8
art. 6, § 12 18-9
art. 6, § 13 18-10
art. 6, § 14 18-11
Ord. No. 13-03-113 3-5-2013 art. 3, § 1 20-52
art. 3, § 2 20-53
art. 3, § 3 20-54
art. 3, § 4 20-55
art. 3, § 5 20-56
art. 3, § 6 20-57
Ord. No. 13-03-114 3-5-2013 1 4-96
Ord. No. 14-01-117 1-14-2014 art. 1, § 1 8-1
art. 2, § 1 8-27
art. 2, § 2 8-28
art. 2, § 3 8-29
art. 2, § 4 8-30
art. 2, § 5 8-31
art. 2, § 6 8-32
art. 2, § 7 8-33
art. 2, § 8 8-34
art. 2, § 9 8-35
art. 2, § 10 8-36
art. 2, § 11 8-37
art. 4, § 1 8-2
art. 4, § 2 8-3
Ord. No. 14-05-120 5-6-2014 — 2-81
Ord. No. 15-03-134 3-3-2015 art. 1, § 1 8-1
art. 2, § 1 8-27
art. 2, § 2 8-28
art. 2, § 3 8-29
art. 2, § 4 8-30
art. 2, § 5 8-31
art. 2, § 6 8-32
art. 2, § 7 8-33
art. 2, § 8 8-34
art. 2, § 9 8-35
art. 2, § 10 8-36
art. 2, § 11 8-37
art. 4, § 1 8-2
art. 4, § 2 8-3
Ord. No. 15-05-137 5-5-2015 1.2.1 35-1
1.2.2 35-2
1.2.3 35-3
1.2.4 35-4
1.2.5 35-5
1.2.6 35-6
1.3.1 35-31
1.3.2 35-32
1.3.3 35-33
1.3.4 35-34
1.3.5 35-35
1.3.6 35-36
1.3.7 35-37
1.3.8 35-38
1.3.9 35-39
1.3.10 35-40
1.4.1 35-69
1.4.2 35-70
1.4.3 35-71
1.5.1 35-101
1.5.2 35-102
1.5.3 35-103
1.5.4 35-104
1.5.5 35-105
1.5.6 35-106
1.5.7 35-107
1.5.8 35-108
1.5.9 35-109
1.5.10 35-110
1.5.11 35-111
1.5.12 35-112
1.5.13 35-113
1.5.14 35-114
1.5.15 35-115
1.5.17 35-116
1.5.18 35-117
1.5.19 35-118
1.5.20 35-119
1.6.1 35-150
1.6.2 35-151
1.6.3 35-152
1.6.4 35-153
1.6.5 35-154
1.6.6 35-155
1.6.7 35-156
1.6.8 35-157
1.6.9 35-158
1.6.10 35-159
2.1(A) 35-212
2.1(B) 35-213
2.1(C) 35-214
2.1(D) 35-215
2.1(E) 35-216
2.1 35-211
2.2.1 35-241
2.2.2 35-242
2.3(A) 35-264
2.3(B) 35-265
2.3(C) 35-266
2.3(D) 35-267
2.3(E) 35-268
2.3(F) 35-269
2.3(G) 35-270
2.3(H) 35-271
2.3(I) 35-272
2.3 35-263
3.1(A) 35-294
3.1(B) 35-295
3.1(C) 35-296
3.1(D) 35-297
3.1(E) 35-298
3.1 35-293
3.2(A) 35-330
3.2(B) 35-331
3.2(C) 35-332
3.2(D) 35-333
3.2(E) 35-334
3.3.1 35-357
3.3.2 35-358
3.3.3 35-359
3.3.4.1 35-377
3.3.4.2 35-378
3.4.1 35-400
3.4.2 35-401
3.4.3 35-402
3.4.4 35-403
3.4.5 35-404
3.4.6 35-405
3.4.7 35-406
3.5(A) 35-427
3.5(B) 35-428
3.5(C) 35-429
3.5(D) 35-430
3.5 35-426
3.6(A) 35-460
3.6(B) 35-461
3.6(C) 35-462
3.6(D) 35-463
3.6(E) 35-464
3.6 35-459
3.7(A) 35-483
3.7(B) 35-484
3.7(C) 35-485
3.7(D) 35-486
3.7 35-482
3.8(A) 35-511
3.8(B) 35-512
3.8(C) 35-513
3.8(D) 35-514
3.9(A) 35-537
3.9(B) 35-538
4.1 35-570
4.2(A) 35-589
4.2(B) 35-590
4.2(C) 35-591
4.2(D) 35-592
4.2(E) 35-593
4.2(F) 35-594
4.2 35-595
4.3(A) 35-622
4.3(B) 35-623
4.3(C) 35-624
4.4 35-652—35-707
4.5.1 35-728
4.5.2 35-729
4.5.3 35-730
4.5.4 35-731
4.5.5 35-732
4.5.6 35-733
4.5.7 35-734
4.5.8 35-735
4.5.9 35-736
Ord. No. 15-05-138 5-5-2015 2.1 26-1
2.2 26-2
3.1 26-29
3.2 26-30
3.3 26-31
3.4 26-32
4.1 26-3
4.2 26-4
4.3 26-5
5.1 26-53
5.2 26-54
5.3 26-55
5.4 26-56
5.5 26-57
5.6 26-58
5.7 26-59
5.8 26-60
5.9 26-61
5.10 26-62
5.11 26-63
6.1 26-85
6.2 26-86
6.3 26-87
6.4 26-88
6.5 26-89
6.6 26-90
7.1 26-109
7.2 26-110
7.3 26-111
7.4 26-112
7.5 26-113
7.6 26-114
7.7 26-115
7.8 26-116
7.9 26-117
7.10 26-118
7.11 26-119
7.12 26-120
8.1 26-139
8.2 26-140
8.3 26-141
8.4 26-142
8.5 26-143
9.1 26-170
9.2 26-171
9.3 26-172
9.4 26-173
Ord. No. 15-05-139 5-5-2015 1 14-20
2 14-21
3 14-22
4 14-23
5 14-24
6 14-25
7 14-26
8 14-27
9 14-19
— 14-28
Ord. No. 15-05-140 5-5-2015 art. 1 22-1
art. 2 22-2
art. 3 22-3
art. 4 22-4
art. 5 22-6
art. 6 22-7
art. 7 22-8
art. 8 22-9
art. 9 22-10
art. 10 22-11
art. 11 22-12
art. 12 22-13
art. 13 22-14
art. 14 22-15
art. 15 22-16
art. 16 22-17
art. 17 22-18
art. 18 22-19
art. 19 22-20
art. 20 22-5
art. 21 22-21
art. 22 22-22
art. 23 22-23
art. 24 22-24
art. 25 22-25
art. 26 22-26
art. 27 22-27
Ord. No. 15-08-143 8-4-2015 1 4-2
2 4-26
3 4-27
4 4-98
5 4-126
6 4-193
Ord. No. 15-10-146 10-6-2015 1 35-570
2 35-401
3 35-734
Ord. No. 15-12-147 12-1-2015 — 18-7
Ord. No. 16-03-149 3-1-2016 1 26-171
Ord. No. 16-06-154 6-7-2016 1 20-57
Ord. No. 16-07-155 7-12-2016 1 35-570
2 35-595
3 35-658
Ord. No. 16-08-158 8-2-2016 1 4-2
2 4-30
3 4-25
4 4-27
5 4-29
6 4-98
7 4-99
8 4-200
9 4-202
Ord. No. 17-01-163  1-10-2017 1 10-22(c)
2 10-31
3 10-240
4 10-242(1), (5)
Ord. No. 17-03-166  3- 7-2017 1 35-570
2       Rpld 35-623(d), (e)
3       Added 35-623(d)
Ord. No. 17-04-167  4-11-2017 1 22-4
2 22-19
3 22-20(2), (3), (9)
4 22-23(c)
5, 6 22-27, Table
Ord. No. 17-06-169  6- 6-2017 1       Added 18-211—18-215
Ord. No. 17-08-171  8- 1-2017 1—6 Adopt. Ord., p. xi
Ord. No. 17-09-173  9-12-2017 18-7
Ord. No. 18-06-178  6- 5-2018 1 14-246(c)
      Added 14-246(e)
14-247
14-248
      Added 14-249(d)
      Added 14-250(6)—(9)
