COMPARATIVE TABLE 3
EXPAND
CITY OF AUGUSTA CODE RICHMOND COUNTY CODE AUGUSTA-RICHMOND COUNTY CODE
1-1 1-1 1-1-1
18-80 6-7-74
18-81 6-7-75
18-82 6-7-76
18-83 6-7-77
18-84 6-7-78
18-85 6-7-79
18-86 6-7-80
18-87 6-7-81
18-88 6-7-82
18-89 6-7-83
19-2 5-2-1
19-4 5-2-2
19-5 5-2-3
19-6 5-2-4
19-7 5-2-5
19-8 5-2-6
19-9 5-2-7
19-10 5-2-9
19-11 5-2-10
19-12 5-2-11
19-13 5-2-13
19-14 5-2-15
19-15 5-2-16
19-16 5-2-17
19-17 5-2-18
19-18 5-2-19
19-19 5-2-20
19-20 5-2-21
19-21 5-2-22
19-22 5-2-23
19-23 5-2-24
19-24 5-2-25
19-25 5-2-26
19-26 18-1 5-2-14, 5-2-27
19-27 5-2-28
19-28 5-2-29
19-29 5-2-30
19-30 5-2-31
19-31 5-2-32
19-32 5-2-33
19-33 5-2-34
19-37 5-2-35
19-38 5-2-36
19-39 5-2-37
19-40 5-2-38
19-41 5-2-39
19-43 5-2-41
19-44 5-2-42
19-52 5-2-43
19-53 5-2-44
19-54 5-2-45
19-57 5-2-46
19-58 5-2-47
19-59 5-2-48
19-60 5-2-49
19-61 5-2-50
19-62 5-2-51
19-63 5-2-52
19-64 5-2-53
19-65 5-2-54
19-66 5-2-55
19-68 5-2-70
19-69 5-2-71
19-70 18-23 5-2-92
19-71 18-24 5-2-93
19-72 18-25 5-2-94
19-73 5-2-98
19-74 18-26 5-2-95
19-75 18-27 5-2-96
19-76 18-28 5-2-97
19-77 18-29 5-2-99
19-78 18-30 5-2-100
19-79 18-31 5-2-101
19-80 18-32 5-2-102
20-1 1-9-1
20-3 1-9-2
20-4 1-9-3
20-5 1-9-4
20-6 1-9-5
20-8 1-9-16
20-9 1-9-17
20-10 1-9-18
20-11 1-9-19
20-12 1-9-20
20-13 1-9-21
20-14 1-9-22
20-15 1-9-23
20-16 1-9-24
20-17 1-9-25
20-18 1-9-26
20-19 1-9-27
20-20 1-9-28
20-21 1-9-29
20-22 1-9-30
21-36 8-4-6
21-39 8-4-7
21-42 8-4-8
