SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Included." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omitted."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Included/
Omitted Supp. No.
2018-12  7-17-18 Omitted 48
2018-13  7-17-18 Omitted 48
2018-14  7-17-18 Included 48
2018-15  7-17-18 Included 48
2017-25 12-19-17 Included 49
2018-08  6-19-18 Included 49
2018-11  7-17-18 Included 49
2018-16  8- 7-18 Included 49
2018-17  8-21-18 Included 49
2018-18  9- 4-18 Included 49
2018-19  9-18-18 Included 49
2018-20  9-18-18 Included 49
2018-22 10-16-18 Omitted 49
2018-23 10-16-18 Included 49
2018-24 11-20-18 Included 50
2018-25 11-20-18 Included 50
2019-01  1-15-19 Included 50
2019-03  2- 5-19 Included 50
2019-04  2-19-19 Omitted 50
2019-05  4-16-19 Omitted 50
2019-06  4-16-19 Omitted 50
2019-07  5-21-19 Included 50
2019-08  5-21-19 Omitted 50
2019-09  5-21-19 Omitted 50
2019-10  6- 4-19 Omitted 50
2019-12  7- 2-19 Included 50
2019-13  8- 6-19 Omitted 50
2019-15  9-17-19 Omitted 50
2019-16  9-17-19 Omitted 50
2019-17  9-24-19 Included 50
2019-18 10- 1-19 Included 50
2019-21 12-17-19 Included 50
2020-01  1- 7-20 Omitted 51
2020-02  1-21-20 Omitted 51
2020-04  3-17-20 Included 51
2020-05  3-17-20 Included 51
2020-06  5- 5-20 Included 51
2020-08  7-21-20 Omitted 51
2020-09  7-21-20 Omitted 51
2020-10  7-21-20 Included 51
2020-11  8- 4-20 Omitted 52
2020-12  8- 4-20 Omitted 52
2020-13  9- 1-20 Included 52
2020-14  9-15-20 Omitted 52
2020-15  9-15-20 Omitted 52
2020-16  9-15-20 Omitted 52
2020-17  9-15-20 Omitted 52
2020-18  9-15-20 Omitted 52
2020-19  9-15-20 Omitted 52
2020-20  9-15-20 Omitted 52
2020-21  9-15-20 Omitted 52
2020-22  9-15-20 Included 52
2020-23  9-15-20 Included 52
2020-24 10- 6-20 Included 52
2020-25 10-20-20 Omitted 52
2020-26 11- 3-20 Included 52
2020-27 11-17-20 Included 52
2020-28 12- 1-20 Omitted 52
2020-29 12- 1-20 Omitted 52
2020-30 12- 1-20 Omitted 52
2020-31 12- 1-20 Omitted 52
2020-32 12- 1-20 Omitted 52
2020-33 12- 1-20 Included 52
2020-35 12-15-20 Included 52
2020-36 12-15-20 Included 52
2020-37 12-15-20 Omitted 52
2021-02  1-19-21 Omitted 53
2021-03  1-19-21 Included 53
2021-04  1-19-21 Included 53
2021-04(Res.)  1-19-21 Omitted 53
2021-05  2-16-21 Included 53
2021-06  3- 2-21 Included 53
2021-07  3-16-21 Omitted 53
2021-08  4-20-21 Included 53
2021-09  4-20-21 Included 53
2021-11  6-15-21 Included 53
2021-12  7- 6-21 Included 54
2021-13  7- 7-21 Omitted 54
2021-14  7- 7-21 Omitted 54
2021-15  8-17-21 Included 54
2021-16  8-17-21 Included 54
2021-17  8-17-21 Included 54
2021-18  9-21-21 Omitted 54
2021-19  9-21-21 Omitted 54
2021-20 10- 5-21 Omitted 54
2021-21 10- 5-21 Omitted 54
2021-22 10-19-21 Omitted 54
2021-23 10-19-21 Omitted 54
2021-24 11-16-21 Included 54
2021-25 11-16-21 Included 54
2021-26 12- 7-21 Included 54
2021-27 12-21-21 Omitted 54
2021-28 12-21-21 Omitted 54
2022-18  6- 7-22 Included 55
2022-19  6-21-22 Omitted 55
2022-20  6-21-22 Included 55
2022-22  7- 5-22 Included 55
2022-23  7-19-22 Omitted 55
2022-24  7-19-22 Omitted 55
2022-25  7-19-22 Omitted 55
2022-26  7-19-22 Omitted 55
2018-21 10- 2-18 Included 56
2019-14  9- 3-19 Included 56
2019-19 12-17-19 Included 56
2022-27  8- 2-22 Included 56
2022-28  8-16-22 Included 56
2022-29  9-20-22 Omitted 56
2022-30  9-20-22 Omitted 56
2022-31  9-20-22 Omitted 56
2022-32  9-20-22 Included 56
2022-33  9-20-22 Included 56
2022-34 10- 4-22 Included 56
2022-35 10- 4-22 Included 56
2022-36 10-18-22 Omitted 56
2022-37 10-18-22 Omitted 56
2022-38 10-18-22 Omitted 56
2022-39 10-18-22 Included 56
2022-40 10-18-22 Omitted 56
2022-41 10-18-22 Omitted 56
2022-42 10-18-22 Included 56
2022-43 10-18-22 Included 56
2022-44 11- 1-22 Omitted 56
2022-45 11- 1-22 Included 56
2022-46 11-15-22 Omitted 56
2022-47 11-15-22 Included 56
2022-48 12- 6-22 Included 56
2022-50 12-20-22 Included 56
2022-51 12-20-22 Included 56
2022-52 12-20-22 Included 56
2023-01  1-17-23 Included 56
2023-02  1-17-23 Omitted 56
2023-03  1-17-23 Omitted 56
2023-04  1-17-23 Omitted 56
2023-05  1-17-23 Included 56
2023-06  2- 7-23 Included 57
2023-07  2-21-23 Included 57
2023-08  2-21-23 Omitted 57
2023-09  2-21-23 Omitted 57
2023-10  2-21-23 Omitted 57
2023-11  2-21-23 Included 57
2023-12  3-21-23 Omitted 57
2023-13  3-21-23 Omitted 57
2023-14  3-21-23 Omitted 57
2023-15  4-18-23 Omitted 57
2023-16  4-18-23 Omitted 57
2023-17  5-16-23 Omitted 57
2023-18  5-16-23 Omitted 57
2023-19  5-16-23 Omitted 57
2023-20  5-16-23 Omitted 57
2023-21  5-16-23 Included 57
2023-22  6-20-23 Included 57
2023-24  6-20-23 Included 57
2023-25  8- 1-23 Omitted 58
2023-26  8- 1-23 Included 58
2023-27  8- 1-23 Included 58
2023-28  8-15-23 Included 58
