SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
2012-18 10- 1-12 Included 6
2012-19 10-15-12 Included 6
2012-20 10-15-12 Omitted 6
2012-21 10-15-12 Included 6
2012-23 11-19-12 Included 6
2012-24 12- 3-12 Included 6
2012-25 12- 3-12 Included 6
2012-26 12- 3-12 Included 6
2012-27 12-17-12 Included 6
2012-28 12-17-12 Included 6
2013-01  1-22-13 Included 6
2013-02  3- 4-13 Included 6
2013-03  3- 4-13 Included 6
2013-04  3-18-13 Included 6
2013-05  3-18-13 Included 6
532(S.B.)  7-29-13 Included 7
2013-03(Res.)  6-17-13 Included 7
2013-07  4-15-13 Included 7
2013-08  4-15-13 Included 7
2013-09  5- 6-13 Included 7
2013-10  5- 3-13 Included 7
2013-11  6-17-13 Included 7
2013-12  6-17-13 Included 7
2013-13  6-17-13 Omitted 7
2013-14  7-15-13 Included 7
2013-15  7-15-13 Included 7
2013-16  9- 9-13 Included 7
2013-17  8- 5-13 Included 7
2013-18 11- 4-13 Included 7
2014-01  1-21-14 Included 7
2014-02  1-21-14 Included 7
Ord. of  1-24-11(1) Included 8
Ord. of  1-24-11(2) Included 8
Ord. of  1-24-11(3) Included 8
2012-3.5  2-21-12 Included 8
2014-04  3- 3-14 Included 8
2014-05  3-17-14 Included 8
2014-06  3-17-14 Included 8
2014-6.5  6- 9-14 Included 8
2014-07  6- 2-14 Included 8
2014-08  6-16-14 Included 8
2014-09  8-25-14 Included 8
2014-10 10- 6-14 Included 8
2014-11 10- 6-14 Included 8
2014-12 11-17-14 Included 8
2014-13 12-15-14 Included 9
2014-14 12-31-14 Included 9
2015-01  3- 2-15 Included 9
2015-02  3- 2-15 Included 9
2015-03  3- 2-15 Included 9
2015-04  2- 2-15 Included 9
2015-06  4- 7-15 Omitted 9
2015-07  4-20-15 Included 9
2015-08  5- 4-15 Included 9
654(Act)  4-29-14 Included 10
2015-09  7- 6-15 Included 10
2015-11  3- 2-15 Included 10
2015-12 10- 5-15 Included 10
2015-13 11- 9-15 Included 10
2016-01  3-21-16 Included 10
2016-02  3-21-16 Included 10
2016-03  4-11-16 Included 10
2015-14 11-16-15 Included 11
2016-04  6- 6-16 Included 11
2016-05  6- 6-16 Included 11
2016-06  6- 6-16 Included 11
2016-13  8-15-16 Omitted 11
2016-14  9- 6-16 Included 11
2016-15  8-15-16 Included 11
2016-16  8-15-16 Included 11
2016-17  9-19-16 Included 11
2017-01  1- 9-17 Included 12
2017-08  4-10-17 Included 12
14(Act)  4- 5-17 Included 13
2017-10  5-15-17 Included 13
2017-19  8-21-17 Included 13
2017-20  8-21-17 Included 13
2017-21  8-21-17 Included 13
2017-22  8-21-17 Included 13
2017-23  8-21-17 Included 13
2017-24  8-21-17 Included 13
2017-25 10-16-17 Included 13
2017-26 10-16-17 Included 13
2018-05  2-20-18 Included 14
2018-09  5- 7-18 Included 14
2018-012  8-20-18 Included 14
2018-013  8-20-18 Included 14
2018-014  9- 4-18 Included 14
2018-017 10-15-18 Included 14
2018-018 11- 5-18 Included 14
2018-021 12- 3-18 Included 14
2019-001  1- 7-19 Included 15
2019-005  3-18-19 Included 15
2019-006  3-18-19 Included 15
2019-007  3-18-19 Included 15
2019-008  3-18-19 Included 15
2019-012  5-20-19 Included 15
2019-021  8- 5-19 Included 16
2019-022  8- 5-19 Omitted 16
2019-023  9-23-19 Included 16
2019-024  9-23-19 Included 16
2019-025  9-23-19 Included 16
2019-027 12-16-19 Included 16
2019-028 12-16-19 Included 16
2020-001  1-22-20 Omitted 17
2020-002  1-22-20 Included 17
2020-003  2-10-20 Included 17
2020-004  2-19-20 Omitted 17
2020-005  3-19-20 Omitted 17
2020-006  3-26-20 Omitted 17
2020-007  3-30-20 Omitted 17
2020-08  4-13-20 Omitted 17
2020-09  6- 8-20 Included 17
2020-009.A  6- 8-20 Included 17
2020-09.B  5-11-20 Omitted 17
2020-010  6-17-20 Omitted 17
2020-011  6-17-20 Omitted 17
2020-012  6-29-20 Omitted 17
2020-013  8-19-20 Included 17
2020-014  7-13-20 Omitted 17
2020-015  7-22-20 Omitted 17
2020-016  8-19-20 Omitted 17
2020-017  9-23-20 Included 17
2020-018 (SKIPPED) Omitted 17
2020-019  8-10-20 Included 17
2020-020  8-10-20 Included 17
2020-021  8-19-20 Omitted 17
2020-022  8-19-20 Omitted 17
2020-023  9-23-20 Included 17
2020-024  9-23-20 Omitted 17
2020-025  9-23-20 Omitted 17
2020-026 12-16-20 Omitted 17
2020-027 10-21-20 Omitted 17
2020-028 10-21-20 Omitted 17
2020-029 11-18-20 Omitted 17
2020-030 11-20-20 Omitted 17
2020-030.A 11-20-20 Omitted 17
2020-032 11- 9-20 Included 17
2020-033 11- 9-20 Included 17
2020-034 12-14-20 Included 17
2020-035 11-18-20 Omitted 17
2020-036 12-14-20 Omitted 17
2020-037 12-14-20 Omitted 17
2020-038 (WITHDRAWN) Omitted 17
2020-039 12-16-20 Omitted 17
2020-040  1-20-21 Included 17
2020-041  1-20-21 Omitted 17
2020-042  1-20-21 Omitted 17
2020-31 (WITHDRAWN) Omitted 17
2021-01  2-17-21 Omitted 18
2021-02  1-20-21 Included 18
2021-03  2-17-22 Included 18
2021-04  1-20-21 Included 18
2021-05  2-17-22 Included 18
2021-06  1-20-21 Included 18
2021-07  2- 8-21 Included 18
2021-08  2- 8-21 Included 18
2021-09  2-17-21 Omitted 18
2021-10  2- 8-21 Included 18
2021-11  2- 8-21 Omitted 18
2021-12  3-17-21 Omitted 18
2021-14  2-17-21 Omitted 18
2021-15  2-17-21 Omitted 18
2021-16  2-17-21 Omitted 18
2021-17  2-17-21 Omitted 18
2021-18  2-17-21 Included 18
2021-19  3-17-21 Omitted 18
2021-20  2-17-21 Omitted 18
2021-21  3-17-21 Included 18
2021-21 (Res.)  4-12-21 Omitted 18
2021-22  5-19-21 Omitted 18
2021-23  3-17-21 Omitted 18
2021-24  3-17-21 Omitted 18
2021-25  4-21-21 Omitted 18
2021-26  4-21-21 Included 18
2021-27  3-17-21 Included 18
2021-28  4-12-21 Included 18
2021-29  4-12-21 Omitted 18
2021-30  4-12-21 Included 18
2021-31  5-19-21 Omitted 18
2021-33  4-21-21 Included 18
2021-34  4-21-21 Included 18
2021-36  4-21-21 Omitted 18
2021-36 (Z-21-11)  6-23-21 Included 18
2021-37  6-23-21 Omitted 18
2021-38  6-23-21 Omitted 18
2021-39  6-23-21 Omitted 18
2021-40  6-23-21 Included 18
2021-51  8-18-21 Omitted 18
2021-52  8-18-21 Omitted 18
2021-54  8-18-21 Included 18
2021-61  9-22-21 Omitted 18
2021-62  9-22-21 Omitted 18
2021-63 10-20-21 Omitted 18
2021-64 10-20-21 Included 18
2022-01  1-12-22 Omitted 18
2022-02  1-12-22 Included 18
2022-03  1-12-22 Omitted 18
2022-04  1-12-22 Included 18
2022-05  1-12-22 Omitted 18
2022-06  1-12-22 Included 18
2022-07  1-12-22 Included 18
2022-08  2-14-22 Omitted 18
2022-09  2-14-22 Omitted 18
2022-10  2-16-22 Included 18
2022-11  3-14-22 Omitted 18
2022-12  3-14-22 Omitted 18
2022-13  3-14-22 Omitted 18
2022-14  3-14-22 Omitted 18
2022-15  3-14-22 Omitted 18
2022-16  3-14-22 Omitted 18
2022-17  3-14-22 Included 18
2022-18  3-14-22 Included 18
2022-19  3-14-22 Omitted 18
2022-20  3-14-22 Included 18
2022-21  5-16-22 Omitted 18
2022-22  5-16-22 Included 18
2022-23  5-18-22 Included 18
2022-24  6-16-22 Omitted 18
2022-25  6-29-22 Omitted 18
2022-26  6-29-22 Omitted 18
2022-27  7-18-22 Omitted 18
2022-28  7-18-22 Included 18
2022-29  7-18-22 Included 18
2022-30  7-18-22 Omitted 18
2022-31  7-18-22 Included 18
2022-32  7-18-22 Included 18
2022-33  7-18-22 Included 18
2022-34  7-18-22 Included 18
2022-35  4-18-22 Omitted 18
2022-36  4-18-22 Omitted 18
2022-37  4-18-22 Omitted 18
2022-38  4-18-22 Included 18
2022-39  4-18-22 Included 18
2022-40  4-18-22 Omitted 18
2022-41  4-18-22 Included 18
2022-42  4-18-22 Included 18
2022-43  3-14-22 Included 18
2022-44  8-15-22 Included 18
2022-45  8-15-22 Omitted 18
2022-46  8-15-22 Included 18
