ID,Form,Lemma,POStag,NER,Head,DepRel,Deps,Clause Tag,Record ID,Sentence ID,Document ID,Document,Date
1,Chapter,chapter,NN,MISC,0,ROOT,0:ROOT,,1,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,75,75,CD,NUMBER,1,nummod,1:nummod,,2,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,-,-,HYPH,O,1,punct,1:punct,,3,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,SUSTAINABLE,sustainable,JJ,O,7,amod,7:amod,,4,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,DEVELOPMENT,DEVELOPMENT,NNP,O,7,compound,7:compound,,5,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,DESIGN,DESIGN,NNP,O,7,compound,7:compound,,6,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,STANDARDS,STANDARDS,NNPS,O,1,dep,1:dep,,7,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,Sec.,sec.,NN,O,7,dep,7:dep,,8,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,75,75,CD,NUMBER,8,nummod,8:nummod,,9,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,-,-,HYPH,NUMBER,8,punct,8:punct,,10,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
11,1,1,CD,NUMBER,8,nummod,8:nummod,,11,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
12,.,.,.,O,1,punct,1:punct,,12,1,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
1,-,-,HYPH,O,2,punct,2:punct,,13,2,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,Policy,policy,NN,O,0,ROOT,0:ROOT,,14,2,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,.,.,.,O,2,punct,2:punct,,15,2,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
1,(,(,-LRB-,O,2,punct,2:punct,,16,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,a,a,LS,O,9,dep,9:dep,,17,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,),),-RRB-,O,2,punct,2:punct,,18,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,The,the,DT,O,5,det,5:det,,19,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,City,City,NNP,O,9,nsubj,9:nsubj,,20,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,of,of,IN,O,7,case,7:case,,21,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,Atlanta,Atlanta,NNP,CITY,5,nmod:of,5:nmod:of,,22,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,shall,shall,MD,O,9,aux,9:aux,,23,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,integrate,integrate,VB,O,0,ROOT,0:ROOT,,24,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,green,green,JJ,O,16,amod,16:amod,,25,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
11,and,and,CC,O,14,cc,14:cc,,26,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
12,/,/,HYPH,O,11,punct,11:punct,,27,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
13,or,or,CC,O,11,cc,11:cc,,28,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
14,sustainable,sustainable,JJ,O,16,amod,10:conj:and|16:amod,,29,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
15,building,building,NN,O,16,compound,16:compound,,30,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
16,principles,principle,NNS,O,9,obj,9:obj,,31,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
17,and,and,CC,O,18,cc,18:cc,,32,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
18,practices,practice,NNS,O,16,conj:and,9:obj|16:conj:and,,33,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
19,into,into,IN,O,21,case,21:case,,34,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
20,the,the,DT,O,21,det,21:det,,35,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
21,design,design,NN,O,9,obl:into,9:obl:into,,36,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
22,",",",",",",O,21,punct,21:punct,,37,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
23,construction,construction,NN,O,21,conj:and,9:obl:into|21:conj:and,,38,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
24,",",",",",",O,21,punct,21:punct,,39,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
25,and,and,CC,O,26,cc,26:cc,,40,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
26,operations,operation,NNS,O,21,conj:and,9:obl:into|21:conj:and,,41,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
27,of,of,IN,O,30,case,30:case,,42,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
28,all,all,DT,O,30,det,30:det,,43,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
29,city,city,NN,O,30,compound,30:compound,,44,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
30,facilities,facility,NNS,O,21,nmod:of,21:nmod:of,,45,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
31,",",",",",",O,9,punct,9:punct,,46,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
32,and,and,CC,O,36,cc,36:cc,,47,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
33,city,city,NN,O,35,obl,35:obl,,48,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
34,-,-,HYPH,O,35,punct,35:punct,,49,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
35,funded,fund,VBN,O,36,amod,36:amod,,50,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
36,projects,project,NNS,O,9,conj:and,9:conj:and,,51,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
37,to,to,IN,O,40,case,40:case,,52,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
38,the,the,DT,O,40,det,40:det,,53,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
39,fullest,ful,JJS,O,40,amod,40:amod,,54,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
40,extent,extent,NN,O,36,nmod:to,36:nmod:to,,55,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
41,possible,possible,JJ,O,40,amod,40:amod,,56,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
42,and,and,CC,O,44,cc,44:cc,,57,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
43,at,at,IN,O,44,case,44:case,,58,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
44,minimum,minimum,NN,O,40,conj:and,36:nmod:to|40:conj:and,,59,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
45,to,to,IN,O,47,case,47:case,,60,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
46,the,the,DT,O,47,det,47:det,,61,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
47,extent,extent,NN,O,44,nmod:to,44:nmod:to,,62,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
48,described,describe,VBN,O,47,acl,47:acl,,63,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
49,in,in,IN,O,50,case,50:case,,64,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
50,section,section,NN,O,48,obl:in,48:obl:in,,65,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
51,75,75,CD,NUMBER,50,nummod,50:nummod,,66,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
52,-,-,HYPH,NUMBER,50,punct,50:punct,,67,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
53,19,19,CD,NUMBER,50,nummod,50:nummod,,68,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
54,.,.,.,O,9,punct,9:punct,,69,3,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
1,Furthermore,furthermore,RB,O,6,advmod,6:advmod,,70,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,",",",",",",O,6,punct,6:punct,,71,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,the,the,DT,O,4,det,4:det,,72,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,city,city,NN,O,6,nsubj,6:nsubj,,73,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,shall,shall,MD,O,6,aux,6:aux,,74,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,provide,provide,VB,O,0,ROOT,0:ROOT,,75,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,leadership,leadership,NN,O,11,nsubj:xsubj,6:obj|11:nsubj:xsubj,,76,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,and,and,CC,O,9,cc,9:cc,,77,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,guidance,guidance,NN,O,11,nsubj:xsubj,6:obj|7:conj:and|11:nsubj:xsubj,,78,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,to,to,TO,O,11,mark,11:mark,,79,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
11,encourage,encourage,VB,O,6,xcomp,6:xcomp,,80,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
12,the,the,DT,O,13,det,13:det,,81,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
13,application,application,NN,O,11,obj,11:obj,,82,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
14,of,of,IN,O,17,case,17:case,,83,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
15,green,green,JJ,O,17,amod,17:amod,,84,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
16,building,building,NN,O,17,compound,17:compound,,85,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
17,practices,practice,NNS,O,13,nmod:of,13:nmod:of,,86,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
18,in,in,IN,O,21,case,21:case,,87,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
19,private,private,JJ,O,20,amod,20:amod,,88,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
20,sector,sector,NN,O,21,compound,21:compound,,89,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
21,development,development,NN,O,13,nmod:in,13:nmod:in,,90,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
22,.,.,.,O,6,punct,6:punct,,91,4,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
1,This,this,DT,O,2,det,2:det,,92,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,policy,policy,NN,O,6,nsubj:xsubj,4:nsubj:pass|6:nsubj:xsubj,,93,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,is,be,VBZ,O,4,aux:pass,4:aux:pass,,94,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,expected,expect,VBN,O,0,ROOT,0:ROOT,,95,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,to,to,TO,O,6,mark,6:mark,,96,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,yield,yield,VB,O,4,xcomp,4:xcomp,,97,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,long,long,RB,O,9,dep,9:dep,,98,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,-,-,HYPH,O,9,punct,9:punct,,99,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,term,term,NN,O,11,compound,11:compound,,100,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,cost,cost,NN,O,11,compound,11:compound,,101,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
11,savings,savings,NNS,O,6,obj,6:obj,,102,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
12,to,to,IN,O,16,case,16:case,,103,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
13,the,the,DT,O,14,det,14:det,,104,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
14,city,city,NN,O,16,nmod:poss,16:nmod:poss,,105,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
15,'s,'s,POS,O,14,case,14:case,,106,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
16,taxpayers,taxpayer,NNS,O,6,obl:to,6:obl:to,,107,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
17,due,due,IN,O,20,case,20:case,,108,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
18,to,to,IN,O,17,fixed,17:fixed,,109,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
19,substantial,substantial,JJ,O,20,amod,20:amod,,110,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
20,improvements,improvement,NNS,O,6,obl:due_to,6:obl:due_to,,111,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
21,in,in,IN,O,25,case,25:case,,112,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
22,life,life,NN,O,24,compound,24:compound,,113,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
23,-,-,HYPH,O,24,punct,24:punct,,114,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
24,cycle,cycle,NN,O,25,compound,25:compound,,115,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
25,performance,performance,NN,O,20,nmod:in,20:nmod:in,,116,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
26,and,and,CC,O,31,cc,31:cc,,117,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
27,reduced,reduce,VBN,O,31,amod,31:amod,,118,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
28,life,life,NN,O,30,compound,30:compound,,119,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
29,-,-,HYPH,O,30,punct,30:punct,,120,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
30,cycle,cycle,NN,O,31,compound,31:compound,,121,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
31,costs,cost,NNS,O,20,conj:and,6:obl:due_to|20:conj:and,,122,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
32,.,.,.,O,4,punct,4:punct,,123,5,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
1,(,(,-LRB-,O,2,punct,2:punct,,124,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
2,b,b,LS,O,10,dep,10:dep,,125,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
3,),),-RRB-,O,2,punct,2:punct,,126,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
4,In,in,IN,O,5,case,5:case,,127,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
5,addition,addition,NN,O,10,obl:in,10:obl:in,,128,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
6,",",",",",",O,10,punct,10:punct,,129,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
7,the,the,DT,O,8,det,8:det,,130,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
8,city,city,NN,O,10,nsubj,10:nsubj,,131,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
9,shall,shall,MD,O,10,aux,10:aux,,132,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
10,evaluate,evaluate,VB,O,0,ROOT,0:ROOT,,133,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
11,all,all,DT,O,13,det,13:det,,134,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
12,land,land,NN,O,13,compound,13:compound,,135,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
13,purchases,purchase,NNS,O,10,obj,10:obj,,136,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
14,for,for,IN,O,16,case,16:case,,137,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
15,future,future,JJ,DATE,16,amod,16:amod,,138,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
16,development,development,NN,O,13,nmod:for,13:nmod:for,,139,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
17,on,on,IN,O,19,case,19:case,,140,6,1,"=hyperlink(""/Users/macarahmorgan/Guldi-Lab/Sample/Sustainable Design Standards/09-27-2012_Codes.txt"")",09-27-2012
