CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the city used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
17-159 17-261
17-160 17-262
17-161 17-263
17-162 17-264
17-163 17-265
17-164 17-266
17-165 17-267
17-171 17-298
17-172 17-299
17-191 17-317
17-192 17-318
17-193 17-319
17-194 17-320
17-211 17-344
17-221 17-362
17-222 17-363
17-223 17-364
17-224 17-365
17-225 17-366
17-226 17-367
17-227 17-368
17-241 17-395
17-242 17-396
17-243 17-397
17-261 17-423
17-262 17-424
17-263 17-425
17-264 17-426
17-265 17-427
17-266 17-428
17-267 17-429
17-268 17-430
17-269 17-431
17-270 17-461
17-271 17-462
17-272 17-463
17-273 17-464
17-274 17-465
17-275 17-466
Ord. No. O2013-01-60 1-22-2013 23-1 23-1
23-2 23-2
23-3 23-33
23-4 23-34
23-5 23-3
23-6 23-4
23-7 23-5
23-26 23-57
23-27 23-58
23-28 23-59
23-29 23-60
23-46 23-79
23-47 23-80
23-61 23-104
23-62 23-105
23-63 23-106
23-64 23-107
23-65 23-108
23-66 23-109
23-67 23-110
23-86 23-134
23-87 23-135
23-88 23-136
23-90 23-158
23-91 23-159
23-92 23-160
23-93 23-161
23-94 23-162
Ord. No. 2013-02-02 2-26-2013 att. A(18-1) 16-1
att. A(18-2) 16-2
att. A(18-3) 16-23
att. A(18-5) 16-50
att. A(18-6) 16-51
att. A(18-7) 16-52
Ord. No. 2013-02-03 2-26-2013 15-26 15-27
15-27 15-28
15-28 15-29
15-29 15-30
15-30 15-31
15-31 15-32
15-32 15-33
15-33 15-34
15-34 15-35
15-35 15-36
15-36 15-37
15-37 15-38
15-38 15-39
15-39 15-40
15-40 15-41
15-41 15-42
15-42 15-43
15-43 15-44
15-44 15-45
15-45 15-46
15-45.1 15-47
15-46 15-48
15-47 15-49
15-48 15-50
Ord. No. 2013-02-04 2-26-2013 15-26 15-27
15-27 15-28
15-28 15-29
15-29 15-30
15-30 15-31
15-31 15-32
15-32 15-33
15-33 15-34
15-34 15-35
15-35 15-36
15-36 15-37
15-37 15-38
15-38 15-39
15-39 15-40
15-40 15-41
15-41 15-42
15-42 15-43
15-43 15-44
15-44 15-45
15-45 15-46
15-45.1 15-47
15-46 15-48
15-47 15-49
15-48 15-50
Ord. No. 2013-02-09 2-26-2013 1 4-1
— 4-182
3 4-276
4 4-277
5 4-278
Ord. of 2-26-2013 2-26-2013 4-1 4-1
4-26 4-21
4-27 4-22
4-28 4-23
4-29 4-24
4-30 4-56
4-46 4-52
4-47 4-53
4-48 4-54
4-49 4-59
4-50 4-60
4-51 4-61
4-52 4-62
4-53 4-63
4-54 4-64
4-55 4-65
4-56 4-66
4-57 4-67
4-58 4-68
4-59 4-55
4-60 4-69
4-71 4-97
4-72 4-98
4-73 4-99
4-74 4-100
4-75 4-101
4-76 4-102
4-77 4-103
4-78 4-104
4-79 4-105
4-80 4-106
4-81 4-107
4-101 4-128
4-101.1 4-129
4-102 4-130
4-103 4-131
4-104 4-132
4-105 4-133
4-106 4-134
4-107 4-135
4-108 4-136
4-109 4-137
4-110 4-138
4-126 4-160
4-127 4-162
4-128 4-161
— 4-163
4-129 4-164
4-146 4-182
4-147 4-183
4-148 4-185
4-149 4-184
— 4-186
4-150 4-187
4-161 4-213
4-162 4-214
4-163 4-215
4-164 4-216
4-165 4-217
4-191 4-243
4-192 4-244
4-193 4-245
4-194 4-246
4-195 4-247
4-211 4-273
4-212 4-274
4-213 4-275
4-214 4-276
4-231 4-301
4-232 4-302
4-233 4-303
4-234 4-304
Ord. of 3-7-2013 3-7-2013 15-1 15-1
15-2 15-2
15-3 15-3
15-4 15-4
15-71 15-74
15-72 15-75
15-73 15-76
15-74 15-96
15-75 15-97
15-76 15-98
15-91 15-125
15-92 15-126
15-93 15-127
15-94 15-128
15-95 15-129
15-96 15-130
15-97 15-131
15-116 15-161
15-117 15-162
15-118 15-163
15-119 15-164
15-120 15-165
15-121 15-166
15-136 15-186
15-137 15-187
15-138 15-188
15-139 15-189
15-140 15-190
15-141 15-191
15-142 15-192
15-143 15-193
15-144 15-194
15-145 15-195
15-146 15-196
15-166 15-216
15-167 15-217
15-168 15-218
15-169 15-219
15-170 15-220
15-171 15-221
15-172 15-222
15-173 15-223
15-174 15-224
15-175 15-225
15-176 15-226
15-191 15-246
15-192 15-247
15-193 15-248
15-194 15-249
15-195 15-250
15-196 15-251
15-197 15-252
15-198 15-253
15-199 15-254
15-216 15-272
15-217 15-273
15-218 15-274
15-219 15-275
15-220 15-276
15-221 15-277
15-222 15-278
15-223 15-279
15-224 15-280
15-225 15-281
15-226 15-282
15-241 15-313
15-242 15-314
15-243 15-315
15-244 15-316
15-245 15-317
15-246 15-318
15-247 15-319
15-248 15-320
15-249 15-321
15-266 15-346
15-267 15-347
15-268 15-348
15-269 15-349
15-270 15-350
15-271 15-351
15-272 15-352
15-273 15-353
15-274 15-354
15-275 15-355
15-276 15-356
15-277 15-357
15-278 15-358
15-279 15-359
15-311 15-377
15-312 15-378
15-313 15-379
15-314 15-380
15-331 15-404
15-332 15-405
15-333 15-406
15-334 15-407
15-335 15-408
15-351 15-430
15-352 15-431
15-353 15-432
15-354 15-433
15-355 15-434
15-356 15-435
15-357 15-436
15-358 15-437
Ord. No. O2013-03-02 3-12-2013 1(9-7) 9-7
Ord. No. O2013-03-26 3-26-2013 1(9-7) 9-7
Ord. No. 2013-03-07 4-9-2013 2(18-52) 16-98
2(18-53) 16-99
2(18-54) 16-100
2(18-55) 16-101
2(18-56) 16-102
2(18-57) 16-103
2(18-58) 16-104
Ord. No. 2013-03-10 4-9-2013 — 2-117
— 2-118
— 2-119
Ord. No. O2013-03-11 4-9-2013 7-1 7-1
7-16 7-87
7-18 7-27
7-26 7-58
7-27 7-59
7-28 7-60
7-29 7-61
7-30 7-118
7-31 7-119
7-31.1 7-196
7-31.2 7-121
7-32 7-122
7-33 7-120
7-34 7-170
7-35 7-143
7-36 7-197
7-37 7-64
7-38 7-62
7-39 7-171
7-40 7-63
7-51 7-23
7-52 7-24
7-53 7-25
7-54 7-26
7-500 7-2
7-501 7-2
7-502 7-2
Ord. of 4-19-2013 4-19-2013 15-1 15-1
15-2 15-2
15-3 15-3
15-4 15-4
15-71 15-74
15-72 15-75
15-73 15-76
15-74 15-96
15-75 15-97
15-76 15-98
15-91 15-125
15-92 15-126
15-93 15-127
15-94 15-128
15-95 15-129
15-96 15-130
15-97 15-131
15-116 15-161
15-117 15-162
15-118 15-163
15-119 15-164
15-120 15-165
15-121 15-166
15-136 15-186
15-137 15-187
15-138 15-188
15-139 15-189
15-140 15-190
15-141 15-191
15-142 15-192
15-143 15-193
15-144 15-194
15-145 15-195
15-146 15-196
15-166 15-216
15-167 15-217
15-168 15-218
15-169 15-219
15-170 15-220
15-171 15-221
15-172 15-222
15-173 15-223
15-174 15-224
15-175 15-225
15-176 15-226
15-191 15-246
15-192 15-247
15-193 15-248
15-194 15-249
15-195 15-250
15-196 15-251
15-197 15-252
15-198 15-253
15-199 15-254
15-216 15-272
15-217 15-273
15-218 15-274
15-219 15-275
15-220 15-276
15-221 15-277
15-222 15-278
15-223 15-279
15-224 15-280
15-225 15-281
15-226 15-282
15-241 15-313
15-242 15-314
15-243 15-315
15-244 15-316
15-245 15-317
15-246 15-318
15-247 15-319
15-248 15-320
15-249 15-321
15-266 15-346
15-267 15-347
15-268 15-348
15-269 15-349
15-270 15-350
15-271 15-351
15-272 15-352
15-273 15-353
15-274 15-354
15-275 15-355
15-276 15-356
15-277 15-357
15-278 15-358
15-279 15-359
15-311 15-377
15-312 15-378
15-313 15-379
15-314 15-380
15-331 15-404
15-332 15-405
15-333 15-406
15-334 15-407
15-335 15-408
15-351 15-430
15-352 15-431
15-353 15-432
15-354 15-433
15-355 15-434
15-356 15-435
15-357 15-436
15-358 15-437
Ord. No. 2013-05-03 5-14-2013 1 15-497
2(15-401) 15-497
3(15-419) 15-513
Ord. No. 2013-05-03A 5-14-2013 25-360 25-555
25-361 25-556
25-362 25-557
25-363 25-558
25-364 25-559
25-365 25-560
25-366 25-561
25-367 25-562
25-368 25-563
25-369 25-564
25-370 25-565
25-371 25-566
Ord. No. 2013-05-04 5-28-2013 1 15-497
2 15-497
3 15-513
Ord. No. 2013-05-05 6-11-2013 1(7-16(a)) 7-87
Ord. No. 2013-06-09 7-9-2013 1 4-1
2 4-59
3 4-60
4 4-61
5 4-129
6 4-130
7 4-132
