SUPPLEMENT HISTORY TABLE
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
O-21-0003  1-19-2021 Omit 8
O-21-0008  2-16-2021 Include 8
Ord. of  2-16-2021 Include 8
O-21-0019  3- 2-2021 Include 8
O-21-0023  3-16-2021 Include 8
O-21-0024  3-16-2021 Include 8
O-21-0044  6- 1-2021 Include 8
O-21-0046  6- 1-2021 Include 8
O-21-0048  6-15-2021 Include 8
O-21-0050  6-22-2021 Include 8
O-21-0051  6-22-2021 Include 8
Res. of  8- 3-2021 Omit 8
Ord. of  9-14-2021 Include 8
O-21-0084 10-19-2021 Include 8
Ord. of 10-19-2021(1) Include 8
Ord. of 10-19-2021(2) Omit 8
Ord. of 10-19-2021(3) Include 8
H.B. 610  5- 3-2021 Include 9
O-19-0062  9-17-2019 Include 9
O-19-0064 10- 1-2019 Omit 9
O-19-0065 10- 1-2019 Include 9
O-19-0066 10-15-2019 Omit 9
O-21-0081 10-19-2021 Include 9
O-21-0083 10-19-2021 Omit 9
O-22-0001  1-18-2022 Include 9
O-17-0003  1-17-2017 Include 10
O-21-0004  1-19-2021 Include 10
O-21-0071  9-14-2021 Include 10
O-22-0005  2-15-2022 Include 10
O-22-0006  2-15-2022 Include 10
O-22-0007  2-15-2022 Include 10
O-22-0011  3- 1-2022 Include 10
O-22-0016  4- 5-2022 Include 10
O-22-0022  4-19-2022 Include 10
O-22-0023  5- 3-2022 Include 10
O-22-0025  5- 3-2022 Include 10
O-22-0029  6-21-2022 Include 10
O-17-0008  2- 7-2017 Include 11
O-22-0010  2-15-2022 Include 11
Ord. of  7-19-2022 Include 11
O-22-0033  7-19-2022 Include 11
O-22-0037  7-19-2022 Include 11
O-22-0050  8- 2-2022 Include 11
O-22-0045  8-16-2022 Include 11
O-22-0049  8-16-2022 Include 11
O-22-0051  8-16-2022 Include 11
O-21-0087 11-16-2021 Include 12
O-22-0055  9-20-2022 Include 12
O-22-0035  7-19-2022 Include 13
O-22-0068 12- 6-2022 Include 13
O-22-0073 12-20-2022 Include 13
O-23-0004  1-17-2023 Include 13
O-23-0015  3-21-2023 Include 13
