SUPPLEMENT HISTORY TABLE
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the Code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
26-18 10- 4-18 Include 16
27-18 10- 3-18 Omit 16
28-18 10- 4-18 Include 16
29-18 11- 1-18 Include 16
30-18 11- 1-18 Omit 16
31-18 11-15-18 Include 16
32-18 12- 6-18 Omit 16
33-18 12- 6-18 Omit 16
34-18 12- 6-18 Include 16
34A-18 12- 6-18 Include 16
35-18 12- 6-18 Include 16
36-18 12- 6-18 Include 16
37-18 12- 6-18 Include 16
38-18 12- 6-18 Include 16
39-18 12- 6-18 Include 16
01-19  1- 3-19 Include 16
02-19  1-17-19 Include 16
Supp. No. 17
03-19  2-21-19 Include 17
04-19  3- 7-19 Include 17
05-19  3- 7-19 Include 17
06-19  3- 7-19 Include 17
08-19  3-21-19 Omit 17
09-19  3-21-19 Omit 17
10-19  3-21-19 Omit 17
11-19  4- 4-19 Include 17
12-19  4- 4-19 Include 17
13-19  4- 4-19 Include 17
14-19  4- 4-19 Include 17
15-19  4- 4-19 Include 17
16-19  4- 4-19 Omit 17
17-19  5-16-19 Include 17
Supp. No. 18
20-19  6- 6-19 Include 18
21-19  6- 6-19 Include 18
23-19  6-20-19 Include 18
24-19  6-20-19 Include 18
25-19  7- 2-19 Include 18
29-19  7-18-19 Include 18
30-19  8- 1-19 Include 18
31-19  8- 1-19 Include 18
33-19  8-15-19 Include 18
34-19  9- 5-19 Include 18
35-19  9-19-19 Include 18
36-19  9-19-19 Include 18
37-19  9-19-19 Include 18
38-19  9-19-19 Include 18
Supp. No. 19
39-19 10- 3-19 Include 19
40-19 10-17-19 Omit 19
43-19 12- 5-19 Omit 19
01-20  1-16-20 Include 19
Supp. No. 20
32-19  8-15-19 Include 20
02-20  3- 5-20 Include 20
03-20  3- 5-20 Include 20
04-20  3- 5-20 Include 20
05-20  3- 5-20 Include 20
06-20  3- 5-20 Include 20
07-20  3- 5-20 Include 20
08-20  3-19-20 Omit 20
09-20  3-19-20 Omit 20
10-20  4- 2-20 Omit 20
11-20  4- 2-20 Include 20
12-20  4- 2-20 Include 20
13-20  6-18-20 Omit 20
14-20  6-18-20 Include 20
15-20  6-18-20 Include 20
16-20  7- 2-20 Omit 20
17-20  7- 2-20 Omit 20
18-20  7- 2-20 Omit 20
19-20  8- 6-20 Omit 20
20-20  9- 3-20 Include 20
21-20  3- 5-20 Include 20
Supp. No. 21
32-19  8-15-19 Include 21
22-20 10-15-20 Include 21
23-20 10-15-20 Include 21
24-20 10- 1-20 Include 21
25-20 11-19-20 Include 21
26-20 11-19-20 Include 21
27-20 11-19-20 Include 21
28-20 11- 5-20 Include 21
29-20 11-19-20 Include 21
30-20 12- 3-20 Include 21
31-20 12- 3-20 Omit 21
32-20 12- 3-20 Omit 21
01-21  1- 7-21 Include 21
02-21  1- 7-21 Include 21
03-21  1- 7-21 Include 21
04-21  1- 7-21 Include 21
05-21  1- 7-21 Include 21
06-21  2- 4-21 Include 21
Supp. No. 22
07-21  3- 4-21 Include 22
08-21  4- 1-21 Include 22
09-21  3- 4-21 Omit 22
10-21  3- 4-21 Omit 22
11-21  3- 4-21 Omit 22
12-21  3- 4-21 Omit 22
13-21  3- 4-21 Omit 22
14-21  3- 4-21 Omit 22
15-21  3- 4-21 Omit 22
16-21  2- 4-21 Omit 22
17-21  5- 6-21 Include 22
18-21  4- 1-21 Omit 22
19-21  4- 1-21 Omit 22
20-21  4- 1-21 Include 22
Supp. No. 23
33-20  7- 2-20 Include 23
21-21  6- 3-21 Omit 23
22-21  6- 3-21 Omit 23
23-21  6-17-21 Include 23
24-21  6-17-21 Omit 23
25-21  6-17-21 Include 23
26-21  6-17-21 Include 23
27-21  6-17-21 Include 23
28-21  7- 1-21 Omit 23
29-21  7- 1-21 Omit 23
30-21  7- 1-21 Omit 23
31-21  9- 2-21 Omit 23
32-21  9- 2-21 Omit 23
33-21  9- 2-21 Include 23
35-21 10-21-21 Omit 23
Supp. No. 24
36-21 11-18-21 Include 24
37-21 12-16-21 Include 24
01-22  1- 6-22 Omit 24
02-22  1- 6-22 Include 24
03-22  2- 3-22 Omit 24
04-22  2- 3-22 Omit 24
05-22  2- 3-22 Include 24
Supp. No. 25
11-22  6-16-22 Include 25
12-22  6-16-22 Include 25
13-22  6-16-22 Include 25
Supp. No. 26
34-21 11-18-21 Include 26
06-22  4- 7-22 Include 26
07-22  4-21-22 Include 26
08-22  4-21-22 Include 26
09-22  6- 2-22 Omit 26
14-22  6-16-22 Omit 26
15-22  7- 7-22 Include 26
16-22  7-21-22 Include 26
17-22  8- 4-22 Include 26
18-22  8- 4-22 Omit 26
19-22 10- 6-22 Include 26
20-22 10- 6-22 Include 26
21-22 10-20-22 Omit 26
22-22 10- 6-22 Omit 26
23-22  9-15-22 Omit 26
24-22 10-20-22 Include 26
25-22 10-20-22 Include 26
26-22 10-20-22 Include 26
27-22 10-20-22 Include 26
28-22 11- 3-22 Include 26
29-22 11-17-22 Omit 26
30-22 11-17-22 Include 26
31-22 12-15-22 Include 26
32-22 12-15-22 Omit 26
01-23  2- 2-23 Include 27
02-23  2- 2-23 Include 27
03-23  2- 2-23 Include 27
05-23  2- 2-23 Include 27
06-23  2-16-23 Include 27
07-23  3-16-23 Include 27
09-23  4- 6-23 Include 27
10-23  3-16-23 Include 27
11-23  4- 6-23 Omit 27
12-23  4- 6-23 Omit 27
13-23  4-20-23 Include 27
14-23  5- 4-23 Omit 27
15-23  5- 4-23 Omit 27
16-23  5- 4-23 Include 27
17-23  5- 4-23 Include 27
18-23  5- 4-23 Include 27
19-23  5- 4-23 Include 27
20-23  5- 4-23 Include 27
21-23  5- 4-23 Include 27
23-23  5-18-23 Include 27
24-23  5-18-23 Include 27
25-23  5-18-23 Include 27
26-23  5-18-23 Include 27
27-23  5-18-23 Include 27
28-23  6- 1-23 Include 27
29-23  6- 1-23 Include 27
