CODE COMPARATIVE TABLE
As of Supplement No. 24, this table will no longer be updated.
EXPAND
Code 1971 Code 1991
1-1 1.04.010
19-43 Repealed
19-44 Repealed
19-45 Repealed
19-46 Repealed
19-47 Repealed
19-51 Repealed
19-52 10.04.040
19-53 Repealed
19-54 Repealed
19-55 10.04.040
19-56 Repealed
19-57 Repealed
19-58 Repealed
19-59 Repealed
19-60 Repealed
19-61 10.04.040
19-62 Repealed
19-63 Repealed
19-64 Repealed
19-65 Repealed
19-66 Repealed
19-67 Repealed
19-68 Repealed
19-69 Repealed
19-70 10.08.070
19-71 Repealed
19-72 Repealed
19-73 10.08.080
19-74 Not codified
19-75 Repealed
19-76 Repealed
19-77 Repealed
19-78 Repealed
19-79 Repealed
19-80 Repealed
19-81 Repealed
19-82 Repealed
19-83 Repealed
19-84 10.12.070
19-85 10.12.080
19-86 10.12.090
19-87 10.12.100
19-88 Repealed
19-89 Repealed
19-90 10.04.040
19-91 Repealed
19-92 Repealed
19-140 10.20.010
19-141 Repealed
19-142 Repealed
19-143 10.20.020
19-144 10.20.030
19-145 Repealed
20-1 Repealed by 97-3
20-13 Repealed by 97-3
20-14 Repealed by 97-3
20-15 Repealed by 97-3
20-16 Repealed by 97-3
20-17 Repealed by 97-3
20-18 Repealed by 97-3
20-19 Repealed by 97-3
20-20 Repealed
20-21 Repealed by 97-3
20-25 Repealed by 97-3
20-26 Repealed by 97-3
20-27 Repealed by 97-3
20-28 Repealed by 97-3
21-1 Repealed
21-2 Repealed
21-16 Repealed
21-17 Repealed
21-18 Repealed
21-19 Repealed
21-20 Repealed
21-21 Repealed
21-31 Repealed
21-32 Repealed
21-33 Repealed
21-34 Repealed
21-35 Repealed
21-36 Repealed
21-37 Repealed
21-38 Repealed
21-39 Repealed
21-40 Repealed
21-41 Repealed
21-42 Repealed
21-46 Repealed
21-47 Repealed
21-48 Repealed
21-49 Repealed
21-50 Repealed
21-51 Repealed
21-52 Repealed
21-53 Repealed
21-54 Repealed
21-61 Repealed
21-62 Repealed
21-63 Repealed
21-64 Repealed
21-65 Repealed
21-66 Repealed
21-67 Repealed
21-71 Repealed
21-72 Repealed
21-73 Repealed
21-74 Repealed
21-75 Repealed
21-76 Repealed
  As of Supplement No. 24, this table will no longer be updated.
