Supplement History Table
modified
The table below allows users of this Code to quickly and accurately determine what ordinances have been considered for codification in each supplement. Ordinances that are of a general and permanent nature are codified in the Code Book and are considered "Includes." Ordinances that are not of a general and permanent nature are not codified in the Code Book and are considered "Omits."
In addition, by adding to this table with each supplement, users of this Code of Ordinances will be able to gain a more complete picture of the code's historical evolution.
EXPAND
Ord. No. Date
Adopted Include/
Omit Supp. No.
16-19 11- 7-2016 Omit 64
16-20 11- 7-2016 Omit 64
16-21 11-21-2016 Include 64
16-22 11-21-2016 Include 64
16-23 12- 5-2016 Include 64
16-24 12- 5-2016 Include 64
16-25 12- 5-2016 Omit 64
17-01  1- 3-2017 Include 64
17-02  1- 3-2017 Omit 64
17-03  1- 3-2017 Include 64
17-04  1-17-2017 Omit 64
17-05  1-17-2017 Omit 64
17-06  2- 6-2017 Include 64
17-07  2-20-2017 Include 64
17-08  2-20-2017 Include 64
17-09  3- 6-2017 Include 64
17-10  3- 6-2017 Include 64
17-11  3-20-2017 Include 64
17-12  3-20-2017 Include 64
17-13  5- 1-2017 Omit 65
17-14  5-15-2017 Include 65
17-15  5-15-2017 Include 65
17-16  5-15-2017 Omit 65
17-17  6- 5-2017 Omit 65
17-18  6- 5-2017 Omit 65
17-19  6- 5-2017 Include 65
17-20  6-19-2017 Omit 65
17-21  6-19-2017 Omit 65
17-22  8-21-2017 Omit 66
17-23  9 5-2017 Omit 66
17-24  9-18-2017 Omit 66
17-25 10- 2-2017 Include 66
17-26 11- 6-2017 Omit 66
17-27 11-20-2017 Omit 66
17-28 12- 4-2017 Omit 66
18-01  1- 2-2018 Omit 66
18-02  2- 5-2018 Include 66
18-03  2- 5-2018 Omit 66
18-04  3-19-2018 Omit 66
18-05  3-19-2018 Omit 66
18-06  5- 7-2018 Include 67
18-07  5- 7-2018 Include 67
18-08  6-18-2018 Include 67
18-09  6-28-2018 Omit 67
18-10  7- 2-2018 Include 67
18-11  7- 2-2018 Include 67
18-12  7-16-2018 Include 67
18-13  7-16-2018 Include 67
18-14  8- 6-2018 Include 67
18-15 10- 1-2018 Omit 67
18-16 12-17-2018 Omit 67
19-01  1- 7-2019 Omit 67
19-02  2- 4-2019 Omit 67
19-03  3-18-2019 Include 67
19-04  4-15-2019 Omit 67
19-05  6-27-2019 Omit 68
19-06  7- 1-2019 Omit 68
19-07  8- 5-2019 Include 68
19-08  9- 3-2019 Include 68
19-09  9- 3-2019 Include 68
19-10 10- 7-2019 Omit 68
19-11 10- 7-2019 Omit 68
19-12 10- 7-2019 Omit 68
19-13 10- 7-2019 Include 68
19-14 12-16-2019 Omit 68
20-01  1- 6-2020 Omit 68
20-02  1-21-2020 Include 68
20-04  2-17-2020 Include 68
20-05  2-17-2020 Include 68
20-06  3- 2-2020 Omit 68
20-07  4-20-2020 Include 68
20-09  7- 6-2020 Include 68
20-10  7- 6-2020 Include 68
20-11 11-16-2020 Include 68
20-12 12- 7-2020 Include 68
20-13  2- 3-2020 Include 68
20-14 10- 5-2020 Include 68
20-15  6-15-2020 Include 69
20-18  6-15-2020 Include 69
21-11  9- 7-2021 Include 69
22-01  3- 7-2022 Include 70
22-02  3-21-2022 Include 70
22-03  4- 4-2022 Include 70
22-04  4- 4-2022 Include 70
22-05  4-18-2022 Include 70
22-07  5- 2-2022 Include 70
22-08  5- 2-2022 Omit 70
22-09  5-16-2022 Include 70
22-13  8-15-2022 Include 71
22-14  9- 6-2022 Include 71
22-15  9- 6-2022 Include 71
23-01  3-20-2023 Include 72
23-02  5- 1-2023 Include 72
