CODE COMPARATIVE TABLE - LEGISLATION
This is a chronological listing of the ordinances of the county used in this Code. Repealed or superseded laws at the time of the codification and any omitted materials are not reflected in the table.
EXPAND
Legislation Date Section Section
this Code
10.1.2 122-20
10.1.4 122-21
10.2 122-50
10.2.1 122-51
10.2.2 122-52
10.2.3 122-53
10.2.4 122-54
10.2.5 122-55
10.3 122-84
10.3.1 122-85
10.3.2 122-86
10.3.3 122-87
10.3.4 122-88
10.4 122-120
10.5 122-121
10.6 122-122
10.7 122-123
10.8 122-124
10.8.4 122-125
10.8.5 122-126
10.9 122-127
10.10 122-153
10.10.1 122-154
10.10.2 122-155
10.10.3 10-58
10.11.1 122-179
10.11.2 122-180
10.11.3 122-181
10.11.4 122-182
10.11.5 122-183
10.12 122-22
11.1.1 22-1
11.1.2 22-2
11.1.3 22-3
11.1.4 22-27
11.1.5 22-28
11.2 122-205
11.2.1 122-206
11.3 122-236
11.3.5 122-237
11.5 122-268
12.1 110-138
12.1.1 110-139
12.1.2 110-140
12.1.3 110-141
12.1.4 110-142
12.2 110-143
12.3 110-145
12.4 110-174
12.4.1 110-175
12.4.2 110-176
12.4.3 110-177
12.5 110-178
12.6 110-144
12.7 110-210
12.7.1 110-211
12.7.2 110-212
12.7.3 110-213
12.8 110-235
12.8.1 110-236
12.8.2 110-237
13.1 122-300
13.2.1 122-301
13.2.2 122-302
13.2.3 122-303
13.2.4 122-304
13.3.1 122-306
13.3.2 122-307
13.3.3 122-308
13.3.4 122-309
13.3.5 122-310
13.3.6 122-311
13.3.7 122-312
13.3.8 122-313
13.3.9 122-314
13.3.10 122-315
13.3.11 122-316
13.4.1 122-336
13.4.2 122-337
13.4.3 122-338
13.5.1 122-365
13.5.2 122-366
13.5.3 122-367
13.5.4 122-368
13.5.5 122-369
13.5.6 122-370
13.6.1 122-399
13.6.2 122-400
13.6.3 122-401
13.6.4 122-402
13.6.5 122-403
13.6.6 122-404
13.6.7 122-405
13.6.8 122-406
13.7 122-305
13.8.1 122-426
13.8.2 122-427
14.1.0 110-268
14.2.0 110-269
14.3.0 110-270
14.4.1 110-289
14.4.2 110-290
14.4.3 110-291
14.4.4 110-292
14.4.5 110-293
14.4.6 110-294
14.4.7 110-295
14.4.8 110-296
14.4.9 110-297
14.5.1 110-328
14.5.2 110-329
14.5.3 110-330
14.5.4 110-331
14.5.5 110-332
14.5.6 110-333
14.6.1 110-355
14.6.2 110-356
14.7.1 110-386
14.7.2 110-387
14.8.1 110-418
14.8.2 110-419
14.8.3 110-420
14.8.4 110-421
14.8.5 110-422
14.8.6 110-423
14.8.7 110-424
14.9 110-447
15.1 110-478
15.2 110-479
15.3 110-480
15.4 110-481
16.1 114-19
16.2 114-20
16.3 114-21
Ord. of 6-7-2015 6-7-2015 — 10-26
Ord. of 8-4-2015 8-4-2015 3-0 6-1
3-1 6-2
3-2 6-3
3-3 6-41
3-4 6-42
3-5 6-4
3-7 6-5
3-8 6-5
3-9 6-6
3-10 6-7
3-11 6-8
3-12 6-9
3-14 6-11
3-16 6-73
3-17 6-74
3-18 6-75
3-19 6-76
3-20 6-77
3-21 6-78
3-22 6-79
3-23 6-80
3-25 6-135
3-26 6-136
3-27 6-137
3-28 6-138
3-29 6-139
3-30 6-140
3-31 6-141
3-32 6-142
3-33 6-143
3-34 6-144
Ord. No. 2015-12-05 12-1-2015 1(A) 42-19
1(B) 42-20
1(C) 42-21
1(D) 42-22
1(E) 42-23
1(F) 42-24
1(G) 42-25
1(H) 42-26
