APPENDIX 1 - CROSS REFERENCE TABLE FOR ORDINANCE 5860
Chapter, article and section numbers of Ordinance 5860 are shown with section numbers of the Los Angeles County Code in which they appear.
EXPAND
Ord. 5860 LACC
Chapter 1
601 Repealed by 92-0132
602 Repealed by 92-0132
603 Repealed by 92-0132
604 7.62.070
607 7.62.010
608 7.62.110
609 7.62.120
610 Repealed by 92-0132
611 Repealed by 92-0132
612 7.62.090
613 7.62.080
614 7.62.100
Article 13
621 7.70.010
622 7.70.020
622.5 7.70.040
623 7.70.030
624 7.70.010
625 7.70.050
626 7.70.060
Article 14
651 7.72.010
652 7.72.020
654 7.72.030
656 7.72.040
Article 15
705 7.28.010
705.5 7.28.020
706 7.28.030
708 7.28.010
710 7.28.040
Article 16
721 7.88.010
722 7.88.030
723 7.88.040
724 7.88.020
Article 17
731 7.86.010
732 7.86.020
733 7.86.030
735 7.86.040
736 7.86.050
737 7.86.060
738 7.86.080
739 7.86.090
740 7.86.140
741 7.86.070
742 7.86.130
743 7.86.100
744 7.86.110
745 7.86.120
Article 18
751 7.32.010
752 7.32.020
Article 19
760 7.46.010
761 7.46.020
762 7.46.030
763 7.46.040
764 7.46.050
Article 20
771 7.47.010
772 7.47.010
773 7.47.020
774 7.47.040
774.1 7.47.050
774.2 7.47.070
774.3 7.47.060
775 7.47.030
776 7.47.080
776.1 7.47.120
777 7.47.100
778 7.47.090
779 7.47.110
Chapter 3
Article 1
801 7.22.020
802 7.22.010
802.1 7.22.010
Article 2
841 7.22.030
842 7.22.040
843 7.22.050
Article 3
881 7.22.070
882 7.22.060
883 7.22.120
884 7.22.110
885 7.22.100
886 7.22.080
887 7.22.090
Chapter 4
Article 1
1001 7.16.010
1002 7.16.010
1003 7.16.030
1003.1 7.16.040
1003.5 7.16.050
1003.7 7.16.060
1004 7.16.050
1004.1 7.16.070
1005 7.16.080
1006 7.16.140
1006.1 7.16.150
1007 7.16.160
1007.1 7.16.170
1008 7.16.280
1008.1 7.16.300
1009 7.16.290
1010 7.16.310
1010.1 Repealed by 96-0067
1011 7.16.180
1011.1 7.16.190
1012 7.16.200
1014 7.16.210
1015 7.16.220
1016 7.16.230
1016.1 7.16.250
1016.5 7.16.260
1016.7 7.16.270
1017 7.16.340
1018 7.16.240
1019 7.16.110
1020 7.16.090
1021 7.16.100
1021.1 7.16.130
1021.2 7.16.120
1022 7.16.020
1023 Repealed by 96-0067
1025 7.16.330
Chapter 5
Article 1
1101 7.74.010
1102 7.74.010
Article 2
1111 7.74.020
1112 7.74.030
1113 7.74.040
1114 7.74.050
1115 7.74.060
Article 3
1121 7.74.070
1122 7.74.080
1123 7.74.090
1124 7.74.100
1125 7.74.110
Article 4
1131 7.74.120
1132 7.74.130
1133 7.74.140
1134 7.74.150
1135 7.74.160
Chapter 6
Article 1
1251 7.42.010
1252 7.42.020
1253 7.42.030
1254 7.42.060
1255 7.42.040
1256 7.42.050
1257 7.42.080
1258 7.42.070
Article 2
1275 Repealed by 92-0132
1276 Repealed by 92-0132
1277 Repealed by 92-0132
1278 Repealed by 92-0132
1279 Repealed by 92-0132
1280 Repealed by 92-0132
1281 Repealed by 92-0132
1282 Repealed by 92-0132
1283 Repealed by 92-0132
1284 Repealed by 92-0132
1285 Repealed by 92-0132
1286 Repealed by 92-0132
1287 Repealed by 92-0132
1288 Repealed by 92-0132
1289 Repealed by 92-0132
Chapter 7
Article 1
1301 7.76.010
1302 7.76.020
1303 7.76.030
1311 7.76.040
1312 7.76.050
1313 7.76.060
1314 7.76.070
1315 7.76.080
1316 7.76.090
1316.2 7.76.100
1316.4 7.76.110
1317 7.76.120
1318 7.76.130
1319 7.76.140
1320 7.76.150
Article 4
1324 7.76.160
1325 7.76.170
Article 5
1331 7.76.180
1332 7.76.180
1333 7.76.190
1334 7.76.200
Article 6
1341 7.76.210
1342 7.76.210
1343 7.76.220
1344 7.76.230
Article 7
1351 7.76.240
1352 7.76.270
1353 7.76.240
1354 7.76.260
1355 7.76.240
1356 7.76.250
1357 7.76.280
1358 7.76.290
1359 7.76.300
Article 9
1391 7.76.310
1392 7.76.330
1393 7.76.340
1394 7.76.350
1395 7.76.450
1396 7.76.460
1397 7.76.360
1398 7.76.380
1399 7.76.370
1400 7.76.420
1401 7.76.430
1402 7.76.440
1403 7.76.390
1404 7.76.400
1405 7.76.410
1406 7.76.320
Chapter 8
Article 1
1501 7.80.010
1502 7.80.010
1502.1 7.80.020
1503 7.80.030
1503.1 7.80.040
1504 7.80.050
1505 7.80.060
1505.1 7.80.070
1506 7.80.080
1506.1 7.80.090
1506.2 7.80.100
1507 7.80.110
1507.1 7.80.120
1508 7.80.130
1508.1 7.80.140
1509 7.80.150
1510 7.80.160
1511 7.80.170
1512 7.80.180
1513 7.80.190
1513.1 7.80.200
1513.2 7.80.210
1514 Repealed by 89-0086
1515 7.80.230
1516 7.80.250
1517 7.80.240
1518 7.80.260
1518.1 7.80.270
1519 7.80.280
1520 7.80.290
1521 7.80.300
1522 7.80.310
1522.1 7.80.320
1522.2 7.80.330
1523 7.80.340
1524 7.80.350
1525 7.80.360
1525.1 7.80.370
1526 7.80.380
1527 7.80.390
1528 7.80.400
1529 7.80.410
1530 7.80.420
Article 2
1531 7.80.430
1532 7.80.450
1532.1 7.80.460
1533 7.80.470
1534 7.80.480
1534.5 7.80.490
1535 7.80.500
1535.1 7.80.510
1536 7.80.520
1537 7.80.530
1538 7.80.560
1539 7.80.550
1540 7.80.600
1541 7.80.580
1542 7.80.570
1543 7.80.590
1544 7.80.620
1545 7.80.610
1546 7.80.640
1547 7.80.650
1548 7.80.660
1549 7.80.540
1550 7.80.440
1551 7.80.630
Article 3
1571 7.80.670
1572 7.80.670
1573 7.80.670
1574 7.80.680
1575 7.80.700
1576 7.80.690
Chapter 10
Article 1
2002 7.30.040
2003 7.30.030
2004 7.30.105
2005 7.30.060
2006 7.30.010
2007 7.30.020
2008 7.30.050
2009 7.30.090
2010 7.30.100
2011 7.30.070
2012 7.30.080
Article 2
2021 7.30.110
2022 7.30.120
2023 7.30.130
2023.5 7.30.140
2024 7.30.150
2025 7.30.160
2026 7.30.170
2027 7.30.180
2028 7.30.200
2029 7.30.220
2030 7.30.230
2031 7.30.240
2032 7.30.190
2033 7.30.210
Article 3
2040 7.30.250
2041 7.30.270
2042 7.30.280
2043 7.30.290
2045 7.30.260
Article 4
2051 7.30.300
2052 7.30.320
2053 7.30.310
Article 5
2060 7.30.340
2061 7.30.350
2061.5 7.30.420
2062 7.30.360
2062.5 7.30.450
2063 7.30.460
2064 7.30.470
2064.5 7.30.480
2065 7.30.530
2066 7.30.370
2067 7.30.510
2068 7.30.520
2069 7.30.500
2070 7.30.380
2071 7.30.390
2072 7.30.400
2073 7.30.410
2074 7.30.430
2075 7.30.440
2076 7.30.490
2077 7.30.330
Article 6
2151 7.30.540
2152 7.30.600
2153 7.30.620
2154 7.30.550
2155 7.30.580
2156 7.30.560
2157 7.30.610
2158 7.30.590
2158.5 7.30.570
Article 7
2171 7.30.670
2172 7.30.680
Article 8
2181 7.30.630
2182 7.30.640
2183 7.30.650
2184 7.30.660
Article 9
2191 7.30.690
2192 7.30.700
2194 7.30.710
2195 7.30.720
2196 7.30.730
2197 7.30.760
2198 7.30.770
2199 7.30.740
2200 7.30.750
Chapter 12
Article 1
2301 7.84.010
2302 7.84.020
Article 2
2311 7.84.020
Article 3
2321 7.84.030
2322 7.84.040
2323 7.84.050
Chapter 13
Article 1
2401 7.40.010
2402 7.40.010
Article 2
2421 7.40.030
2422 7.40.060
2423 7.40.040
2424 7.40.050
2425 7.40.080
2426 7.40.070
2428 7.40.090
2429 7.40.100
2430 7.40.110
2431 7.40.140
2432 7.40.150
2433 7.40.170
Article 3
2451 7.40.120
2452 7.40.160
2453 7.40.180
2454 7.40.130
2455 7.40.020
Chapter 14
Article 1
2501 7.78.010
2502 7.78.010
2503 7.78.030
2504 7.78.010
2505 7.78.040
2506 7.78.020
2507 7.78.050
2508 7.78.060
Article 2
2521 7.78.190
2522 7.78.200
2523 7.78.210
2524 7.78.230
2525 7.78.180
2526 7.78.220
Article3
2531 7.78.070
2532 7.78.160
2534 7.78.080
2535 7.78.100
2536 7.78.110
2537 7.78.090
2538 7.78.120
2539 7.78.130
2542 7.78.140
2543 7.78.150
2544 7.78.170
Chapter 15
Article 1
2601 7.56.010
2602 7.56.010
2603 7.56.010
Article 2
2611 7.56.020
2612 7.56.030
2613 7.56.040
2614 7.56.050
2615 7.56.060
Article 3
2621 7.56.070
Article 4
2631 7.56.080
2632 7.56.090
Article 5
2641 7.56.110
2642 7.56.120
2643 7.56.100
2644 7.56.140
2645 7.56.150
2646 7.56.160
2648 7.56.180
2649 7.56.170
2650 7.56.130
Chapter 16
Article 1
2701 7.64.010
Article2
2711 7.64.020
2712 7.64.030
2713 7.64.040
2714 7.64.050
2715 7.64.060
2716 7.64.070
Article 3
2721 7.64.080
2722 7.64.090
Article 4
2731 7.64.120
2732 7.64.100
2733 7.64.140
2734 7.64.130
2735 7.64.150
2736 7.64.170
2737 7.64.160
2741 7.64.200
2743 7.64.190
2744 7.64.180
2745 7.64.110
Chapter 17
Article 1
2802 7.36.010
2804 7.36.020
Article 2
2810 7.36.040
2811 7.36.110
2813 7.36.120
2814 7.36.130
2815 7.36.050
2816 7.36.080
2817 7.36.060
2818 7.36.070
2819 7.36.090
2820 7.36.140
2821 7.36.100
Article 4
2840 7.36.150
2841 7.36.160
2842 7.36.030
Article 5
2850 7.36.180
2851 7.36.170
Article 6
2860 7.36.190
2861. 7.36.200
2872 7.36.210
2874 7.36.350
2875 7.36.230
2876 7.36.240
2877 7.36.370
2878 7.36.390
2879 7.36.360
2880 7.36.380
2881 7.36.250
2882 7.36.260
2883 7.36.280
2884 7.36.300
2885 7.36.340
2886 7.36.330
2888 7.36.320
2889 7.36.400
2890 7.36.410
Article 7
3003 7.36.220
3006 7.36.290
3007 7.36.270
3011 7.36.310
3101—3107 7.24.010
3108 7.24.010
3109 7.24.010
3110 7.24.020
Article 2
3111 7.24.030
3112 7.24.040
3113 7.24.050
3114 7.24.070
3115 7.24.060
3116 7.24.080
3117 7.24.090
3118 7.24.130
3119 7.24.140
3120 7.24.150
3121 7.24.100
3122 7.24.110
3123 7.24.120
Article 3
3131 7.24.310
3132 7.24.160
3133 7.24.170
3134 7.24.200
3135 7.24.190
3136 7.24.230
3137 7.24.210
3138 7.24.220
3139 7.24.250
3140 7.24.260
3141 7.24.240
3142 7.24.290
3143 7.24.300
3144 7.24.180
3145 7.24.270
3146 7.24.280
3147 7.24.320
Article 4
3151 7.24.330
3152 7.24.350
3153 7.24.360
3154 7.24.340
Article 5
3161 7.24.370
3162 7.24.380
3163 7.24.390
3164 7.24.400
Article 6
3171 7.24.410
3172 7.24.420
3173 7.24.430
3174 7.24.440
3175 7.24.450
3176 7.24.460
3177 7.24.470
3178 7.24.480
3179 7.24.490
3180 7.24.500
3181 7.24.510
3182 7.24.520
3183 7.24.530
3184 7.24.540
Chapter 19
Article 1
3201 7.60.020
3202 7.60.010
3203 7.60.010
Article 2
3211 7.60.030
3212 7.60.050
3213 7.60.040
3214 7.60.060
3215 7.60.070
3216 7.60.080
3217 7.60.090
3218 7.60.100
3219 7.60.110
3220 7.60.170
3221 7.60.180
3222 7.60.120
3223 7.60.130
3224 7.60.140
3225 7.60.150
3226 7.60.151
3227 7.60.152
3228 7.60.160
Article 3
3241 7.60.290
3242 7.60.300
3243 7.60.250
3244 7.60.280
3245 7.60.270
3246 7.60.310
3247 7.60.350
3248 7.60.260
3249 7.60.190
3250 7.60.200
3251 7.60.210
3252 7.60.220
3253 7.60.340
3254 7.60.330
3255 7.60.230
3256 7.60.240
3257 7.60.320
Chapter 20
Article 1
3301 7.44.030
3302 7.44.010
3303 7.44.010
Article 2
3311 7.44.020
3312 7.44.040
Chapter 21
Article 1
3331 7.82.010
3332 7.82.020
Article 2
3341 7.82.090
3342 7.82.100
3343 7.82.110
Article 3
3351 7.82.030
3352 7.82.050
3353 7.82.060
3354 7.82.070
3355 7.82.080
3356 7.82.040
Chapter 23
Article 1
3501 7.20.020
3502 7.20.030
3503 7.20.040
3504 7.20.010
Article 2
3511 7.20.050
3512 7.20.060
3513 7.20.080
3514 7.20.090
3515 7.20.110
3516 7.20.100
3517 7.20.120
3518 7.20.130
3519 7.20.150
3520 7.20.140
3521 7.20.160
3522 7.20.070
3523 7.20.170
Article 3
3531 7.20.180
3532 7.20.200
3533 7.20.190
3534 7.20.210
3535 7.20.220
3536 7.20.230
3536 7.20.240
3537 7.20.250
3538 7.20.260
3539 7.20270
3540 7.20.280
Article 4
3551 7.20.290
3552 7.20.320
3553 7.20.440
3554 7.20.460
3555 7.20.470
3556 7.20.430
3557 7.20.390
3558 7.20.420
3559 7.20.360
3560 7.20.370
3561 7.20.480
3562 7.20.380
3563 7.20.510
3564 7.20.490
3565 7.20.500
3566 7.20.300
3567 7.20.330
3568 7.20.410
3568 7.20.450
3569 7.20.340
3570 7.20.400
3571 7.20.350
3572 7.20.310
3573 7.20.520
Article 5
3581 7.20.530
3582 7.20.540
Chapter 24
3601 Repealed by 92-0132
3602 Repealed by 92-0132
3603 Repealed by 92-0132
3604 Repealed by 92-0132
3605 Repealed by 92-0132
Chapter 25
Article 1
3701 7.25.010
3702 7.25.020
3703 7.25.030
3704 7.25.160
Article 2
3705 7.25.040
3706 7.25.050
3706.1 7.25.060
3706.2 7.25.070
3706.3 7.25.080
3707 7.25.090
3707.1 7.25.100
3708 7.25.110
3709 7.25.120
3710 7.25.130
3710.1 7.25.140
3711 7.25.170
3712 7.25.180
3713 7.25.150
3714 7.24.200
3715 7.25.190
Article 3
3716 7.25.210
3717 7.25.240
3718 7.25.270
3719 7.25.220
3720 7.25.230
3721 7.25.250
3722 7.25.260
Chapter 26
Article 1
3801 7.85.010
3802 7.85.020
3803 7.85.050
3804 7.85.220
3805 7.85.230
3806 7.85.130
Article 2
3807 7.85.030
3808 7.85.040
3809 7.85.060
3810 7.85.110
3811 7.85.170
3812 7.85.200
Article 3
3813 7.85.070
3814 7.85.210
3815 7.85.080
3816 7.85.090
3817 7.85.100
3818 7.85.120
3819 7.85.140
3820 7.85.150
Article 4
3821 7.85.180
3822 7.85.180
3823 7.85.160
Chapter 30
1001—10055 (not codified)
Chapter 31
11001 7.14.010
